双厨狂喜,type,tgi,rate
0,影视音乐,107.52,99.51
1,教育培训,115.84,98.47
2,资讯,113.14,98.28
3,书籍阅读,126.34,97.79
4,医疗健康,112.84,97.67
5,软件应用,144.74,96.01
6,旅游出行,127.93,95.95
7,家电数码,141.92,95.59
8,餐饮美食,123.27,94.79
9,金融财经,128.54,93.5
