逼格,type,tgi,rate
0,影视音乐,107.31,99.32
1,教育培训,115.69,98.34
2,医疗健康,113.39,98.15
3,资讯,112.71,97.91
4,旅游出行,127.55,95.67
5,书籍阅读,123.47,95.57
6,餐饮美食,124.16,95.47
7,金融财经,129.37,94.11
8,家电数码,136.84,92.16
9,休闲爱好,129.75,90.51
