我是云南的,type,tgi,rate
0,影视音乐,107.48,99.48
1,教育培训,116.11,98.7
2,资讯,112.02,97.31
3,医疗健康,111.52,96.52
4,游戏,143.76,95.92
5,书籍阅读,123.02,95.22
6,餐饮美食,121.46,93.4
7,旅游出行,123.71,92.79
8,休闲爱好,131.9,92.01
9,软件应用,136.86,90.79
