刘畊宏女孩,type,tgi,rate
0,影视音乐,106.98,99.01
1,教育培训,116.47,99.01
2,资讯,113.98,99.01
3,书籍阅读,126.64,98.02
4,医疗健康,110.95,96.04
5,软件应用,143.28,95.05
6,休闲爱好,130.59,91.09
7,金融财经,123.86,90.1
8,餐饮美食,115.89,89.11
9,家电数码,130.84,88.12
