深藏功与名,type,tgi,rate
0,影视音乐,107.19,99.2
1,教育培训,115.39,98.09
2,资讯,112.3,97.55
3,医疗健康,112.33,97.23
4,书籍阅读,124.31,96.22
5,旅游出行,125.91,94.43
6,餐饮美食,121.36,93.32
7,金融财经,127.11,92.46
8,家电数码,135.44,91.22
9,软件应用,136.55,90.59
