合成大西瓜,type,tgi,rate
0,影视音乐,105.91,98.03
1,教育培训,112.8,95.89
2,书籍阅读,121.24,93.85
3,资讯,107.17,93.09
4,医疗健康,107.2,92.79
5,软件应用,138.99,92.21
6,游戏,137.27,91.59
7,餐饮美食,114.95,88.39
8,家电数码,129.5,87.22
9,旅游出行,116.27,87.21
