先定一个小目标,type,tgi,rate
0,影视音乐,105.75,97.87
1,教育培训,115.14,97.87
2,餐饮美食,127.28,97.87
3,资讯,110.22,95.74
4,旅游出行,127.66,95.74
5,书籍阅读,123.7,95.74
6,休闲爱好,134.21,93.62
7,家电数码,139.0,93.62
8,汽车,139.39,93.62
9,软件应用,141.12,93.62
