九漏鱼,type,tgi,rate
0,影视音乐,107.1,99.12
1,教育培训,116.13,98.72
2,资讯,113.33,98.45
3,书籍阅读,126.41,97.84
4,医疗健康,113.04,97.84
5,软件应用,145.15,96.29
6,旅游出行,128.11,96.09
7,餐饮美食,124.87,96.02
8,金融财经,130.8,95.14
9,家电数码,140.97,94.94
