真香,type,tgi,rate
0,影视音乐,107.07,99.09
1,教育培训,114.49,97.32
2,资讯,111.81,97.13
3,医疗健康,111.56,96.56
4,书籍阅读,123.54,95.62
5,餐饮美食,121.85,93.7
6,旅游出行,123.06,92.3
7,游戏,136.36,90.98
8,家电数码,133.9,90.18
9,软件应用,135.44,89.85
