diss,type,tgi,rate
0,影视音乐,106.94,98.97
1,教育培训,115.39,98.09
2,资讯,112.07,97.35
3,医疗健康,111.86,96.82
4,书籍阅读,123.25,95.39
5,旅游出行,124.77,93.58
6,餐饮美食,121.57,93.48
7,家电数码,135.26,91.1
8,软件应用,136.67,90.66
9,金融财经,124.62,90.65
