涨姿势,type,tgi,rate
0,影视音乐,106.6,98.66
1,教育培训,113.82,96.75
2,资讯,111.16,96.56
3,书籍阅读,124.01,95.98
4,医疗健康,105.81,91.59
5,金融财经,123.8,90.06
6,旅游出行,119.56,89.67
7,软件应用,134.6,89.29
8,家电数码,130.59,87.95
9,休闲爱好,123.9,86.42
