rush b,type,tgi,rate
0,影视音乐,106.45,98.53
1,游戏,146.43,97.7
2,教育培训,114.82,97.6
3,医疗健康,111.27,96.31
4,资讯,110.13,95.67
5,书籍阅读,122.17,94.56
6,软件应用,141.71,94.01
7,餐饮美食,120.94,93.0
8,家电数码,137.8,92.81
9,旅游出行,123.13,92.35
