skr,type,tgi,rate
0,影视音乐,107.02,99.05
1,教育培训,114.92,97.69
2,资讯,111.91,97.21
3,医疗健康,111.24,96.29
4,书籍阅读,123.04,95.23
5,软件应用,142.13,94.29
6,旅游出行,124.55,93.42
7,餐饮美食,121.38,93.34
8,家电数码,138.28,93.13
9,金融财经,126.84,92.26
