我和我的小伙伴们都惊呆了,type,tgi,rate
0,影视音乐,107.26,99.27
1,资讯,113.44,98.54
2,医疗健康,112.16,97.08
3,教育培训,112.49,95.62
4,书籍阅读,122.59,94.89
5,旅游出行,125.54,94.16
6,餐饮美食,121.51,93.43
7,休闲爱好,130.81,91.24
8,金融财经,125.43,91.24
9,游戏,135.66,90.51
