awsl,type,tgi,rate
0,影视音乐,107.16,99.18
1,教育培训,115.29,98.0
2,资讯,111.93,97.23
3,书籍阅读,125.09,96.82
4,医疗健康,111.8,96.77
5,旅游出行,126.09,94.57
6,软件应用,142.24,94.36
7,餐饮美食,121.98,93.8
8,家电数码,138.05,92.98
9,金融财经,126.34,91.9
