广场舞,type,tgi,rate
0,影视音乐,94.08,87.07
1,医疗健康,99.97,86.53
2,资讯,95.17,82.67
3,教育培训,95.33,81.04
4,餐饮美食,98.42,75.68
5,旅游出行,91.14,68.36
6,休闲爱好,90.76,63.31
7,书籍阅读,81.51,63.09
8,金融财经,84.05,61.14
9,游戏,87.58,58.43
