一起爬山吗,type,tgi,rate
0,影视音乐,108.05,100.0
1,教育培训,117.64,100.0
2,医疗健康,113.94,98.62
3,资讯,113.53,98.62
4,软件应用,147.62,97.93
5,旅游出行,130.57,97.93
6,金融财经,134.63,97.93
7,餐饮美食,126.46,97.24
8,书籍阅读,122.07,94.48
9,游戏,141.61,94.48
