你行你上,type,tgi,rate
0,影视音乐,105.74,97.87
1,书籍阅读,123.14,95.31
2,资讯,109.47,95.1
3,教育培训,111.37,94.67
4,医疗健康,107.15,92.75
5,餐饮美食,115.91,89.13
6,软件应用,133.71,88.7
7,游戏,131.67,87.85
8,休闲爱好,122.58,85.5
9,旅游出行,113.14,84.86
