吸猫,type,tgi,rate
0,影视音乐,107.59,99.58
1,资讯,113.91,98.95
2,医疗健康,113.71,98.42
3,教育培训,114.92,97.69
4,书籍阅读,125.12,96.85
5,餐饮美食,123.63,95.06
6,旅游出行,126.33,94.75
7,金融财经,128.66,93.59
8,家电数码,138.34,93.17
9,游戏,139.34,92.96
