猪猪女孩,type,tgi,rate
0,影视音乐,106.95,98.98
1,资讯,113.01,98.17
2,教育培训,114.88,97.66
3,医疗健康,112.12,97.05
4,旅游出行,127.63,95.72
5,书籍阅读,123.41,95.52
6,金融财经,130.05,94.6
7,餐饮美食,122.9,94.5
8,软件应用,141.38,93.79
9,家电数码,137.44,92.57
