小鲜肉,type,tgi,rate
0,影视音乐,106.54,98.6
1,资讯,111.58,96.93
2,医疗健康,111.49,96.51
3,教育培训,112.75,95.84
4,书籍阅读,119.76,92.7
5,餐饮美食,120.46,92.63
6,旅游出行,123.22,92.42
7,休闲爱好,128.23,89.45
8,金融财经,122.82,89.34
9,家电数码,129.64,87.32
