云监工,type,tgi,rate
0,影视音乐,104.64,96.85
1,教育培训,112.08,95.28
2,资讯,109.68,95.28
3,书籍阅读,120.04,92.91
4,软件应用,140.06,92.91
5,休闲爱好,129.82,90.55
6,医疗健康,104.61,90.55
7,家电数码,133.28,89.76
8,旅游出行,118.63,88.98
9,游戏,132.18,88.19
