捡肥皂,type,tgi,rate
0,影视音乐,106.99,99.03
1,教育培训,114.85,97.63
2,医疗健康,112.49,97.37
3,资讯,111.95,97.24
4,书籍阅读,123.99,95.97
5,餐饮美食,123.27,94.79
6,旅游出行,123.95,92.96
7,金融财经,123.84,90.08
8,软件应用,135.53,89.91
9,休闲爱好,128.78,89.83
