不懂就问,type,tgi,rate
0,影视音乐,106.89,98.93
1,教育培训,115.76,98.4
2,资讯,112.25,97.51
3,医疗健康,111.63,96.63
4,餐饮美食,121.73,93.61
5,书籍阅读,120.93,93.61
6,旅游出行,124.09,93.07
7,休闲爱好,130.63,91.12
8,金融财经,119.65,87.03
9,家电数码,128.7,86.68
