大妈,type,tgi,rate
0,影视音乐,106.63,98.69
1,资讯,111.71,97.04
2,教育培训,113.3,96.31
3,医疗健康,111.0,96.08
4,餐饮美食,121.7,93.58
5,书籍阅读,119.91,92.81
6,旅游出行,122.77,92.08
7,休闲爱好,128.6,89.7
8,游戏,134.27,89.58
9,金融财经,122.63,89.2
