共享经济,type,tgi,rate
0,教育培训,115.38,98.08
1,影视音乐,105.76,97.88
2,资讯,110.54,96.02
3,书籍阅读,123.4,95.51
4,医疗健康,107.16,92.75
5,软件应用,138.32,91.76
6,金融财经,124.69,90.7
7,旅游出行,119.86,89.9
8,家电数码,130.39,87.82
9,餐饮美食,113.12,86.98
