断舍离,type,tgi,rate
0,影视音乐,106.39,98.46
1,资讯,111.46,96.83
2,医疗健康,111.84,96.8
3,教育培训,113.23,96.25
4,书籍阅读,120.57,93.32
5,餐饮美食,120.89,92.96
6,旅游出行,123.69,92.77
7,金融财经,125.11,91.01
8,休闲爱好,125.71,87.69
9,家电数码,129.89,87.48
