上天台,type,tgi,rate
0,影视音乐,106.78,98.83
1,资讯,111.74,97.06
2,医疗健康,111.01,96.09
3,书籍阅读,123.13,95.3
4,教育培训,112.11,95.3
5,餐饮美食,121.4,93.35
6,旅游出行,123.68,92.76
7,金融财经,126.17,91.78
8,休闲爱好,130.46,91.0
9,体育健身,140.9,88.85
