天了噜,type,tgi,rate
0,影视音乐,108.05,100.0
1,资讯,114.04,99.07
2,教育培训,115.44,98.13
3,医疗健康,112.29,97.2
4,餐饮美食,126.4,97.2
5,书籍阅读,124.37,96.26
6,旅游出行,127.1,95.33
7,金融财经,131.05,95.33
8,软件应用,139.47,92.52
9,家电数码,134.6,90.65
