天选打工人,type,tgi,rate
0,影视音乐,107.25,99.27
1,资讯,112.87,98.04
2,教育培训,114.91,97.68
3,医疗健康,112.56,97.43
4,书籍阅读,123.19,95.35
5,旅游出行,126.32,94.74
6,金融财经,130.08,94.62
7,餐饮美食,121.62,93.52
8,家电数码,135.23,91.08
9,汽车,135.61,91.08
