扎心了老铁,type,tgi,rate
0,影视音乐,106.62,98.68
1,医疗健康,110.94,96.03
2,教育培训,112.19,95.36
3,资讯,109.02,94.7
4,书籍阅读,121.5,94.04
5,软件应用,140.76,93.38
6,旅游出行,122.73,92.05
7,餐饮美食,118.85,91.39
8,休闲爱好,131.02,91.39
9,金融财经,123.82,90.07
