奇葩,type,tgi,rate
0,影视音乐,106.99,99.02
1,教育培训,115.05,97.8
2,资讯,112.32,97.57
3,医疗健康,111.93,96.88
4,书籍阅读,122.33,94.69
5,餐饮美食,122.67,94.33
6,旅游出行,124.74,93.55
7,休闲爱好,128.57,89.68
8,金融财经,122.57,89.16
9,家电数码,126.35,85.1
