干饭人,type,tgi,rate
0,影视音乐,107.21,99.22
1,教育培训,114.99,97.75
2,医疗健康,112.49,97.36
3,资讯,111.99,97.29
4,餐饮美食,122.89,94.5
5,书籍阅读,120.88,93.57
6,旅游出行,124.75,93.57
7,金融财经,127.45,92.71
8,休闲爱好,128.8,89.84
9,家电数码,132.25,89.07
