狗带,type,tgi,rate
0,影视音乐,106.4,98.47
1,教育培训,114.16,97.04
2,资讯,110.84,96.28
3,医疗健康,110.9,96.0
4,书籍阅读,121.81,94.28
5,餐饮美食,120.87,92.95
6,软件应用,138.96,92.18
7,金融财经,125.94,91.61
8,旅游出行,122.02,91.52
9,家电数码,135.17,91.04
