萌萌哒,type,tgi,rate
0,影视音乐,106.56,98.62
1,资讯,111.94,97.24
2,教育培训,114.24,97.11
3,医疗健康,111.28,96.33
4,餐饮美食,123.14,94.69
5,书籍阅读,119.19,92.26
6,旅游出行,122.48,91.86
7,休闲爱好,128.03,89.3
8,金融财经,117.9,85.76
9,家电数码,121.29,81.69
