油腻,type,tgi,rate
0,影视音乐,106.75,98.8
1,教育培训,115.18,97.91
2,资讯,112.43,97.66
3,医疗健康,112.45,97.34
4,餐饮美食,123.12,94.67
5,旅游出行,124.16,93.12
6,书籍阅读,120.07,92.93
7,休闲爱好,128.44,89.59
8,金融财经,121.44,88.34
9,家电数码,125.35,84.43
