逆袭,type,tgi,rate
0,影视音乐,105.89,98.01
1,资讯,109.38,95.01
2,书籍阅读,122.51,94.83
3,教育培训,111.29,94.6
4,医疗健康,108.24,93.69
5,餐饮美食,117.55,90.39
6,旅游出行,117.79,88.34
7,金融财经,116.89,85.03
8,休闲爱好,121.13,84.49
9,游戏,125.2,83.53
