老司机,type,tgi,rate
0,影视音乐,103.33,95.63
1,资讯,103.85,90.22
2,医疗健康,100.18,86.71
3,教育培训,101.32,86.12
4,软件应用,122.92,81.55
5,餐饮美食,104.82,80.6
6,书籍阅读,103.98,80.48
7,游戏,118.51,79.07
8,旅游出行,103.47,77.6
9,汽车,112.45,75.52
