awsl,Date,DecryptedData
269,2019-09-27,2837
270,2019-09-28,2992
271,2019-09-29,3064
272,2019-09-30,3012
273,2019-10-01,3836
274,2019-10-02,3281
275,2019-10-03,3663
276,2019-10-04,3653
277,2019-10-05,3901
278,2019-10-06,3653
279,2019-10-07,3413
280,2019-10-08,2997
281,2019-10-09,2995
282,2019-10-10,2925
283,2019-10-11,3018
284,2019-10-12,3124
285,2019-10-13,2900
286,2019-10-14,2675
287,2019-10-15,2918
288,2019-10-16,2739
289,2019-10-17,2673
290,2019-10-18,2798
291,2019-10-19,2743
292,2019-10-20,2793
293,2019-10-21,2732
294,2019-10-22,2611
295,2019-10-23,2517
296,2019-10-24,2436
297,2019-10-25,2595
298,2019-10-26,2495
299,2019-10-27,2548
300,2019-10-28,2426
301,2019-10-29,2329
302,2019-10-30,2338
303,2019-10-31,2489
304,2019-11-01,2475
305,2019-11-02,2417
306,2019-11-03,2464
307,2019-11-04,2503
308,2019-11-05,2412
309,2019-11-06,2350
310,2019-11-07,2391
311,2019-11-08,2401
312,2019-11-09,2500
313,2019-11-10,2492
314,2019-11-11,2539
315,2019-11-12,2459
316,2019-11-13,2396
317,2019-11-14,2548
318,2019-11-15,2380
319,2019-11-16,2306
320,2019-11-17,2543
321,2019-11-18,2664
322,2019-11-19,2363
323,2019-11-20,2233
324,2019-11-21,2316
325,2019-11-22,2391
326,2019-11-23,2194
327,2019-11-24,2278
328,2019-11-25,2294
329,2019-11-26,2179
330,2019-11-27,2039
331,2019-11-28,2123
332,2019-11-29,2004
333,2019-11-30,1971
334,2019-12-01,2028
335,2019-12-02,2245
336,2019-12-03,2385
337,2019-12-04,6072
338,2019-12-05,9135
339,2019-12-06,5463
340,2019-12-07,3787
341,2019-12-08,3431
342,2019-12-09,3357
343,2019-12-10,3751
344,2019-12-11,2944
345,2019-12-12,2616
346,2019-12-13,2942
347,2019-12-14,2771
348,2019-12-15,2511
349,2019-12-16,2666
350,2019-12-17,2613
351,2019-12-18,2467
352,2019-12-19,2487
353,2019-12-20,2421
354,2019-12-21,2231
355,2019-12-22,2300
356,2019-12-23,2469
357,2019-12-24,2443
358,2019-12-25,2346
359,2019-12-26,2385
360,2019-12-27,2476
361,2019-12-28,2477
362,2019-12-29,2426
363,2019-12-30,2663
364,2019-12-31,3044
