老司机,Date,DecryptedData
265,2016-09-22,10246
266,2016-09-23,11972
267,2016-09-24,12823
268,2016-09-25,11713
269,2016-09-26,10127
270,2016-09-27,10132
271,2016-09-28,10139
272,2016-09-29,10399
273,2016-09-30,10315
274,2016-10-01,11203
275,2016-10-02,11701
276,2016-10-03,11111
277,2016-10-04,11089
278,2016-10-05,10956
279,2016-10-06,10689
280,2016-10-07,9463
281,2016-10-08,8016
282,2016-10-09,8159
283,2016-10-10,8032
284,2016-10-11,7863
285,2016-10-12,8126
286,2016-10-13,8093
287,2016-10-14,8557
288,2016-10-15,9632
289,2016-10-16,8908
290,2016-10-17,7537
291,2016-10-18,7710
292,2016-10-19,7913
293,2016-10-20,8136
294,2016-10-21,8978
295,2016-10-22,9564
296,2016-10-23,8556
297,2016-10-24,8072
298,2016-10-25,8085
299,2016-10-26,7934
300,2016-10-27,8246
301,2016-10-28,8151
302,2016-10-29,8520
303,2016-10-30,7650
304,2016-10-31,6886
305,2016-11-01,6693
306,2016-11-02,6882
307,2016-11-03,7069
308,2016-11-04,7181
309,2016-11-05,8499
310,2016-11-06,7601
311,2016-11-07,7105
312,2016-11-08,7173
313,2016-11-09,6747
314,2016-11-10,6461
315,2016-11-11,5816
316,2016-11-12,7221
317,2016-11-13,7343
318,2016-11-14,6591
319,2016-11-15,6527
320,2016-11-16,7031
321,2016-11-17,7758
322,2016-11-18,8587
323,2016-11-19,9039
324,2016-11-20,7822
325,2016-11-21,7121
326,2016-11-22,7318
327,2016-11-23,7009
328,2016-11-24,6789
329,2016-11-25,7098
330,2016-11-26,7958
331,2016-11-27,7500
332,2016-11-28,6274
333,2016-11-29,6441
334,2016-11-30,6646
335,2016-12-01,6971
336,2016-12-02,7815
337,2016-12-03,8111
338,2016-12-04,7939
339,2016-12-05,7175
340,2016-12-06,7295
341,2016-12-07,6767
342,2016-12-08,7105
343,2016-12-09,7217
344,2016-12-10,7645
345,2016-12-11,7150
346,2016-12-12,6429
347,2016-12-13,6634
348,2016-12-14,6655
349,2016-12-15,6754
350,2016-12-16,7203
351,2016-12-17,7629
352,2016-12-18,7645
353,2016-12-19,6796
354,2016-12-20,7125
355,2016-12-21,7245
356,2016-12-22,7102
357,2016-12-23,6955
358,2016-12-24,7288
359,2016-12-25,7398
360,2016-12-26,6733
361,2016-12-27,6553
362,2016-12-28,6918
363,2016-12-29,7228
364,2016-12-30,7288
365,2016-12-31,7810
