diss,Date,DecryptedData
265,2017-09-23,12733
266,2017-09-24,14106
267,2017-09-25,12726
268,2017-09-26,11364
269,2017-09-27,12569
270,2017-09-28,12824
271,2017-09-29,17896
272,2017-09-30,12607
273,2017-10-01,13072
274,2017-10-02,13361
275,2017-10-03,10927
276,2017-10-04,9850
277,2017-10-05,8903
278,2017-10-06,9856
279,2017-10-07,14490
280,2017-10-08,13796
281,2017-10-09,11438
282,2017-10-10,11595
283,2017-10-11,12459
284,2017-10-12,10955
285,2017-10-13,10297
286,2017-10-14,10693
287,2017-10-15,10414
288,2017-10-16,9504
289,2017-10-17,9442
290,2017-10-18,8353
291,2017-10-19,8098
292,2017-10-20,8312
293,2017-10-21,7557
294,2017-10-22,7003
295,2017-10-23,7967
296,2017-10-24,6800
297,2017-10-25,7072
298,2017-10-26,7404
299,2017-10-27,8211
300,2017-10-28,9461
301,2017-10-29,54829
302,2017-10-30,44284
303,2017-10-31,27424
304,2017-11-01,18330
305,2017-11-02,15537
306,2017-11-03,13567
307,2017-11-04,10538
308,2017-11-05,11635
309,2017-11-06,11094
310,2017-11-07,10954
311,2017-11-08,9512
312,2017-11-09,8254
313,2017-11-10,8351
314,2017-11-11,6263
315,2017-11-12,8739
316,2017-11-13,8323
317,2017-11-14,8208
318,2017-11-15,7966
319,2017-11-16,8266
320,2017-11-17,7548
321,2017-11-18,6545
322,2017-11-19,6806
323,2017-11-20,7075
324,2017-11-21,6615
325,2017-11-22,6455
326,2017-11-23,7350
327,2017-11-24,6813
328,2017-11-25,6794
329,2017-11-26,5997
330,2017-11-27,6411
331,2017-11-28,7209
332,2017-11-29,10214
333,2017-11-30,7912
334,2017-12-01,7690
335,2017-12-02,7767
336,2017-12-03,7812
337,2017-12-04,9033
338,2017-12-05,10588
339,2017-12-06,9563
340,2017-12-07,9681
341,2017-12-08,9245
342,2017-12-09,8209
343,2017-12-10,9896
344,2017-12-11,8461
345,2017-12-12,7145
346,2017-12-13,7861
347,2017-12-14,8302
348,2017-12-15,9322
349,2017-12-16,7220
350,2017-12-17,6639
351,2017-12-18,8502
352,2017-12-19,8969
353,2017-12-20,7829
354,2017-12-21,7236
355,2017-12-22,7157
356,2017-12-23,6692
357,2017-12-24,8029
358,2017-12-25,10436
359,2017-12-26,8907
360,2017-12-27,11605
361,2017-12-28,9291
362,2017-12-29,8634
363,2017-12-30,7947
364,2017-12-31,8663
