我是云南的,Date,DecryptedData
292,2022-10-20,438
293,2022-10-21,460
294,2022-10-22,452
295,2022-10-23,473
296,2022-10-24,469
297,2022-10-25,423
298,2022-10-26,1025
299,2022-10-27,1138
300,2022-10-28,635
301,2022-10-29,632
302,2022-10-30,570
303,2022-10-31,370
304,2022-11-01,407
305,2022-11-02,489
306,2022-11-03,384
307,2022-11-04,432
308,2022-11-05,498
309,2022-11-06,465
310,2022-11-07,443
311,2022-11-08,403
312,2022-11-09,397
313,2022-11-10,473
314,2022-11-11,414
315,2022-11-12,503
316,2022-11-13,464
317,2022-11-14,349
318,2022-11-15,324
319,2022-11-16,400
320,2022-11-17,389
321,2022-11-18,474
322,2022-11-19,471
323,2022-11-20,442
324,2022-11-21,446
325,2022-11-22,441
326,2022-11-23,455
327,2022-11-24,339
328,2022-11-25,347
329,2022-11-26,443
330,2022-11-27,563
331,2022-11-28,448
332,2022-11-29,416
333,2022-11-30,441
334,2022-12-01,392
335,2022-12-02,389
336,2022-12-03,493
337,2022-12-04,499
338,2022-12-05,402
339,2022-12-06,487
340,2022-12-07,433
341,2022-12-08,401
342,2022-12-09,359
343,2022-12-10,403
344,2022-12-11,428
345,2022-12-12,393
346,2022-12-13,492
347,2022-12-14,440
348,2022-12-15,392
349,2022-12-16,411
350,2022-12-17,484
351,2022-12-18,548
352,2022-12-19,487
353,2022-12-20,531
354,2022-12-21,722
355,2022-12-22,570
356,2022-12-23,580
357,2022-12-24,532
358,2022-12-25,547
359,2022-12-26,564
360,2022-12-27,443
361,2022-12-28,545
362,2022-12-29,603
363,2022-12-30,561
364,2022-12-31,583
