奥利给,Date,DecryptedData
266,2019-09-24,1251
267,2019-09-25,1307
268,2019-09-26,1456
269,2019-09-27,1681
270,2019-09-28,1850
271,2019-09-29,1894
272,2019-09-30,1852
273,2019-10-01,1654
274,2019-10-02,1774
275,2019-10-03,1949
276,2019-10-04,2258
277,2019-10-05,2764
278,2019-10-06,3442
279,2019-10-07,3597
280,2019-10-08,3227
281,2019-10-09,3309
282,2019-10-10,3270
283,2019-10-11,3189
284,2019-10-12,3434
285,2019-10-13,4348
286,2019-10-14,4084
287,2019-10-15,4070
288,2019-10-16,4211
289,2019-10-17,4228
290,2019-10-18,4871
291,2019-10-19,6058
292,2019-10-20,7241
293,2019-10-21,6231
294,2019-10-22,6315
295,2019-10-23,5875
296,2019-10-24,5954
297,2019-10-25,6459
298,2019-10-26,8906
299,2019-10-27,9577
300,2019-10-28,8752
301,2019-10-29,9529
302,2019-10-30,9280
303,2019-10-31,9132
304,2019-11-01,10904
305,2019-11-02,16530
306,2019-11-03,17926
307,2019-11-04,16458
308,2019-11-05,15806
309,2019-11-06,17691
310,2019-11-07,17490
311,2019-11-08,18006
312,2019-11-09,24923
313,2019-11-10,31670
314,2019-11-11,23165
315,2019-11-12,25597
316,2019-11-13,26499
317,2019-11-14,28661
318,2019-11-15,31155
319,2019-11-16,40895
320,2019-11-17,45197
321,2019-11-18,33997
322,2019-11-19,34062
323,2019-11-20,32029
324,2019-11-21,30650
325,2019-11-22,32516
326,2019-11-23,43739
327,2019-11-24,41627
328,2019-11-25,31894
329,2019-11-26,32396
330,2019-11-27,31562
331,2019-11-28,30590
332,2019-11-29,35898
333,2019-11-30,49861
334,2019-12-01,46703
335,2019-12-02,33425
336,2019-12-03,30307
337,2019-12-04,30996
338,2019-12-05,32056
339,2019-12-06,37018
340,2019-12-07,38827
341,2019-12-08,37464
342,2019-12-09,32989
343,2019-12-10,30688
344,2019-12-11,32578
345,2019-12-12,29585
346,2019-12-13,32483
347,2019-12-14,40303
348,2019-12-15,37537
349,2019-12-16,30885
350,2019-12-17,27127
351,2019-12-18,26016
352,2019-12-19,25824
353,2019-12-20,30256
354,2019-12-21,33518
355,2019-12-22,29569
356,2019-12-23,24699
357,2019-12-24,24028
358,2019-12-25,32828
359,2019-12-26,28889
360,2019-12-27,29425
361,2019-12-28,37786
362,2019-12-29,34695
363,2019-12-30,35233
364,2019-12-31,40925
