高大上,Date,DecryptedData
295,2013-10-23,1073
296,2013-10-24,896
297,2013-10-25,648
298,2013-10-26,578
299,2013-10-27,490
300,2013-10-28,651
301,2013-10-29,599
302,2013-10-30,734
303,2013-10-31,710
304,2013-11-01,767
305,2013-11-02,618
306,2013-11-03,581
307,2013-11-04,767
308,2013-11-05,623
309,2013-11-06,640
310,2013-11-07,726
311,2013-11-08,763
312,2013-11-09,643
313,2013-11-10,595
314,2013-11-11,640
315,2013-11-12,721
316,2013-11-13,727
317,2013-11-14,699
318,2013-11-15,748
319,2013-11-16,586
320,2013-11-17,607
321,2013-11-18,1101
322,2013-11-19,956
323,2013-11-20,2270
324,2013-11-21,2213
325,2013-11-22,1517
326,2013-11-23,1033
327,2013-11-24,880
328,2013-11-25,1409
329,2013-11-26,1361
330,2013-11-27,1294
331,2013-11-28,1301
332,2013-11-29,1195
333,2013-11-30,930
334,2013-12-01,933
335,2013-12-02,1186
336,2013-12-03,1223
337,2013-12-04,1259
338,2013-12-05,1139
339,2013-12-06,1239
340,2013-12-07,1038
341,2013-12-08,1065
342,2013-12-09,1332
343,2013-12-10,1576
344,2013-12-11,1285
345,2013-12-12,1513
346,2013-12-13,1463
347,2013-12-14,1306
348,2013-12-15,1423
349,2013-12-16,1756
350,2013-12-17,1633
351,2013-12-18,1715
352,2013-12-19,4053
353,2013-12-20,2988
354,2013-12-21,1856
355,2013-12-22,1785
356,2013-12-23,1804
357,2013-12-24,1820
358,2013-12-25,1846
359,2013-12-26,2585
360,2013-12-27,2085
361,2013-12-28,1821
362,2013-12-29,1766
363,2013-12-30,1872
364,2013-12-31,1988
