果取关,Date,DecryptedData
289,2014-10-17,250
290,2014-10-18,190
291,2014-10-19,179
292,2014-10-20,195
293,2014-10-21,186
294,2014-10-22,178
295,2014-10-23,166
296,2014-10-24,169
297,2014-10-25,157
298,2014-10-26,155
299,2014-10-27,172
300,2014-10-28,228
301,2014-10-29,178
302,2014-10-30,164
303,2014-10-31,163
304,2014-11-01,158
305,2014-11-02,168
306,2014-11-03,143
307,2014-11-04,159
308,2014-11-05,159
309,2014-11-06,161
310,2014-11-07,152
311,2014-11-08,136
312,2014-11-09,139
313,2014-11-10,152
314,2014-11-11,150
315,2014-11-12,136
316,2014-11-13,140
317,2014-11-14,143
318,2014-11-15,152
319,2014-11-16,136
320,2014-11-17,130
321,2014-11-18,139
322,2014-11-19,139
323,2014-11-20,160
324,2014-11-21,135
325,2014-11-22,137
326,2014-11-23,131
327,2014-11-24,155
328,2014-11-25,138
329,2014-11-26,152
330,2014-11-27,190
331,2014-11-28,136
332,2014-11-29,136
333,2014-11-30,157
334,2014-12-01,131
335,2014-12-02,130
336,2014-12-03,134
337,2014-12-04,148
338,2014-12-05,132
339,2014-12-06,136
340,2014-12-07,138
341,2014-12-08,148
342,2014-12-09,140
343,2014-12-10,144
344,2014-12-11,138
345,2014-12-12,137
346,2014-12-13,70
347,2014-12-14,150
348,2014-12-15,148
349,2014-12-16,135
350,2014-12-17,138
351,2014-12-18,129
352,2014-12-19,134
353,2014-12-20,133
354,2014-12-21,146
355,2014-12-22,137
356,2014-12-23,166
357,2014-12-24,134
358,2014-12-25,150
359,2014-12-26,140
360,2014-12-27,149
361,2014-12-28,134
362,2014-12-29,144
363,2014-12-30,142
364,2014-12-31,133
