巨婴,Date,DecryptedData
283,2018-10-11,1485
284,2018-10-12,1286
285,2018-10-13,1107
286,2018-10-14,1105
287,2018-10-15,1118
288,2018-10-16,960
289,2018-10-17,908
290,2018-10-18,781
291,2018-10-19,861
292,2018-10-20,882
293,2018-10-21,910
294,2018-10-22,920
295,2018-10-23,844
296,2018-10-24,960
297,2018-10-25,933
298,2018-10-26,951
299,2018-10-27,770
300,2018-10-28,829
301,2018-10-29,1035
302,2018-10-30,1084
303,2018-10-31,1129
304,2018-11-01,964
305,2018-11-02,2678
306,2018-11-03,2197
307,2018-11-04,1444
308,2018-11-05,1451
309,2018-11-06,1271
310,2018-11-07,1212
311,2018-11-08,1180
312,2018-11-09,1162
313,2018-11-10,1065
314,2018-11-11,1056
315,2018-11-12,1065
316,2018-11-13,1059
317,2018-11-14,1143
318,2018-11-15,1193
319,2018-11-16,1196
320,2018-11-17,1081
321,2018-11-18,1070
322,2018-11-19,1099
323,2018-11-20,1125
324,2018-11-21,1167
325,2018-11-22,1109
326,2018-11-23,1100
327,2018-11-24,1049
328,2018-11-25,1069
329,2018-11-26,1082
330,2018-11-27,1160
331,2018-11-28,1085
332,2018-11-29,1190
333,2018-11-30,1265
334,2018-12-01,997
335,2018-12-02,1047
336,2018-12-03,1487
337,2018-12-04,2271
338,2018-12-05,1545
339,2018-12-06,1344
340,2018-12-07,1168
341,2018-12-08,1143
342,2018-12-09,1146
343,2018-12-10,1154
344,2018-12-11,1165
345,2018-12-12,1096
346,2018-12-13,1221
347,2018-12-14,1138
348,2018-12-15,1086
349,2018-12-16,1133
350,2018-12-17,1914
351,2018-12-18,1592
352,2018-12-19,1393
353,2018-12-20,1261
354,2018-12-21,1241
355,2018-12-22,1248
356,2018-12-23,1309
357,2018-12-24,1237
358,2018-12-25,1127
359,2018-12-26,1211
360,2018-12-27,1208
361,2018-12-28,1175
362,2018-12-29,1232
363,2018-12-30,1066
364,2018-12-31,1058
