奇葩,Date,DecryptedData
265,2013-09-23,2095
266,2013-09-24,2111
267,2013-09-25,1974
268,2013-09-26,2735
269,2013-09-27,1927
270,2013-09-28,1975
271,2013-09-29,2505
272,2013-09-30,1925
273,2013-10-01,1934
274,2013-10-02,1947
275,2013-10-03,1905
276,2013-10-04,1973
277,2013-10-05,2134
278,2013-10-06,2042
279,2013-10-07,2002
280,2013-10-08,1929
281,2013-10-09,1966
282,2013-10-10,2013
283,2013-10-11,2128
284,2013-10-12,2086
285,2013-10-13,2111
286,2013-10-14,2099
287,2013-10-15,1917
288,2013-10-16,1991
289,2013-10-17,2084
290,2013-10-18,1951
291,2013-10-19,1911
292,2013-10-20,1900
293,2013-10-21,1886
294,2013-10-22,1909
295,2013-10-23,1922
296,2013-10-24,1974
297,2013-10-25,1871
298,2013-10-26,1832
299,2013-10-27,1848
300,2013-10-28,1853
301,2013-10-29,1874
302,2013-10-30,1842
303,2013-10-31,1861
304,2013-11-01,1901
305,2013-11-02,1867
306,2013-11-03,1858
307,2013-11-04,1831
308,2013-11-05,1842
309,2013-11-06,1852
310,2013-11-07,1864
311,2013-11-08,1852
312,2013-11-09,1812
313,2013-11-10,1865
314,2013-11-11,1852
315,2013-11-12,1868
316,2013-11-13,1846
317,2013-11-14,1861
318,2013-11-15,1836
319,2013-11-16,1794
320,2013-11-17,1766
321,2013-11-18,1801
322,2013-11-19,1801
323,2013-11-20,1785
324,2013-11-21,1807
325,2013-11-22,1799
326,2013-11-23,1785
327,2013-11-24,1790
328,2013-11-25,1790
329,2013-11-26,1781
330,2013-11-27,1786
331,2013-11-28,1748
332,2013-11-29,1759
333,2013-11-30,1778
334,2013-12-01,1861
335,2013-12-02,1780
336,2013-12-03,1796
337,2013-12-04,1792
338,2013-12-05,2701
339,2013-12-06,2254
340,2013-12-07,1942
341,2013-12-08,1832
342,2013-12-09,1829
343,2013-12-10,1853
344,2013-12-11,1839
345,2013-12-12,1803
346,2013-12-13,1818
347,2013-12-14,1849
348,2013-12-15,1975
349,2013-12-16,1867
350,2013-12-17,1847
351,2013-12-18,1821
352,2013-12-19,2168
353,2013-12-20,1974
354,2013-12-21,1896
355,2013-12-22,1851
356,2013-12-23,1849
357,2013-12-24,1814
358,2013-12-25,1849
359,2013-12-26,1921
360,2013-12-27,1866
361,2013-12-28,1800
362,2013-12-29,1778
363,2013-12-30,1825
364,2013-12-31,3273
