断舍离,Date,DecryptedData
0,2019-01-01,2050
1,2019-01-02,1805
2,2019-01-03,1692
3,2019-01-04,1683
4,2019-01-05,1596
5,2019-01-06,1675
6,2019-01-07,1896
7,2019-01-08,1772
8,2019-01-09,1714
9,2019-01-10,1690
10,2019-01-11,1656
11,2019-01-12,1685
12,2019-01-13,1700
13,2019-01-14,1873
14,2019-01-15,1589
15,2019-01-16,1694
16,2019-01-17,1639
17,2019-01-18,1558
18,2019-01-19,1663
19,2019-01-20,1799
20,2019-01-21,1891
21,2019-01-22,1779
22,2019-01-23,1865
23,2019-01-24,2026
24,2019-01-25,1738
25,2019-01-26,1728
26,2019-01-27,2248
27,2019-01-28,2174
28,2019-01-29,2187
29,2019-01-30,2409
30,2019-01-31,2091
31,2019-02-01,2036
32,2019-02-02,2040
33,2019-02-03,2007
34,2019-02-04,1354
35,2019-02-05,1202
36,2019-02-06,1355
37,2019-02-07,1630
38,2019-02-08,1627
39,2019-02-09,1695
40,2019-02-10,1690
41,2019-02-11,1904
42,2019-02-12,1922
43,2019-02-13,1842
44,2019-02-14,1722
45,2019-02-15,1876
46,2019-02-16,1739
47,2019-02-17,1759
48,2019-02-18,2129
49,2019-02-19,1876
50,2019-02-20,2007
51,2019-02-21,1823
52,2019-02-22,1743
53,2019-02-23,1750
54,2019-02-24,1910
55,2019-02-25,2043
56,2019-02-26,2019
57,2019-02-27,2106
58,2019-02-28,2141
59,2019-03-01,1987
60,2019-03-02,1797
61,2019-03-03,1972
62,2019-03-04,2122
63,2019-03-05,2113
64,2019-03-06,1948
65,2019-03-07,1912
66,2019-03-08,1712
67,2019-03-09,1789
68,2019-03-10,1885
69,2019-03-11,2026
70,2019-03-12,1887
71,2019-03-13,1968
72,2019-03-14,1996
73,2019-03-15,1936
74,2019-03-16,1684
75,2019-03-17,1879
76,2019-03-18,1885
77,2019-03-19,2122
78,2019-03-20,1997
79,2019-03-21,1995
80,2019-03-22,1762
81,2019-03-23,1597
82,2019-03-24,1760
83,2019-03-25,2068
84,2019-03-26,1941
85,2019-03-27,1909
86,2019-03-28,1879
87,2019-03-29,1767
88,2019-03-30,1890
89,2019-03-31,1903
90,2019-04-01,2058
91,2019-04-02,1995
92,2019-04-03,1959
93,2019-04-04,1696
94,2019-04-05,1541
95,2019-04-06,1878
96,2019-04-07,2271
97,2019-04-08,2240
98,2019-04-09,2136
99,2019-04-10,2257
100,2019-04-11,2122
101,2019-04-12,1906
102,2019-04-13,1809
103,2019-04-14,1769
104,2019-04-15,1904
105,2019-04-16,1839
106,2019-04-17,1614
107,2019-04-18,1859
108,2019-04-19,1918
109,2019-04-20,1741
110,2019-04-21,2113
111,2019-04-22,2093
112,2019-04-23,1922
113,2019-04-24,1679
114,2019-04-25,1679
115,2019-04-26,1716
116,2019-04-27,1642
117,2019-04-28,1894
118,2019-04-29,1714
119,2019-04-30,1636
120,2019-05-01,1526
121,2019-05-02,1521
122,2019-05-03,1689
123,2019-05-04,1778
124,2019-05-05,2098
125,2019-05-06,1984
126,2019-05-07,1784
127,2019-05-08,1662
128,2019-05-09,1728
129,2019-05-10,1705
130,2019-05-11,1559
131,2019-05-12,1708
132,2019-05-13,2005
133,2019-05-14,1942
134,2019-05-15,1760
135,2019-05-16,1767
136,2019-05-17,1672
137,2019-05-18,1625
138,2019-05-19,1675
139,2019-05-20,1751
140,2019-05-21,1731
141,2019-05-22,1639
142,2019-05-23,1628
143,2019-05-24,1479
144,2019-05-25,1552
145,2019-05-26,1765
146,2019-05-27,1844
147,2019-05-28,1727
148,2019-05-29,1786
149,2019-05-30,1828
150,2019-05-31,1681
151,2019-06-01,1419
152,2019-06-02,1480
153,2019-06-03,1709
154,2019-06-04,1637
155,2019-06-05,1648
156,2019-06-06,1709
157,2019-06-07,1448
158,2019-06-08,1549
159,2019-06-09,1720
160,2019-06-10,2221
161,2019-06-11,2275
162,2019-06-12,2009
163,2019-06-13,2067
164,2019-06-14,1939
165,2019-06-15,1810
166,2019-06-16,1870
167,2019-06-17,2134
168,2019-06-18,2204
169,2019-06-19,2128
170,2019-06-20,2054
171,2019-06-21,2095
172,2019-06-22,1918
173,2019-06-23,2075
174,2019-06-24,2095
175,2019-06-25,2068
176,2019-06-26,2004
177,2019-06-27,2025
178,2019-06-28,1952
179,2019-06-29,1668
180,2019-06-30,1849
181,2019-07-01,1914
182,2019-07-02,1748
183,2019-07-03,1773
184,2019-07-04,1786
185,2019-07-05,1815
186,2019-07-06,1621
187,2019-07-07,1749
188,2019-07-08,1905
189,2019-07-09,1893
190,2019-07-10,1860
191,2019-07-11,1898
192,2019-07-12,1845
193,2019-07-13,1786
194,2019-07-14,1729
195,2019-07-15,2147
196,2019-07-16,2083
197,2019-07-17,1938
198,2019-07-18,1909
199,2019-07-19,2047
200,2019-07-20,1773
201,2019-07-21,1794
202,2019-07-22,2049
203,2019-07-23,1921
204,2019-07-24,1964
205,2019-07-25,2168
206,2019-07-26,2140
207,2019-07-27,1931
208,2019-07-28,1849
209,2019-07-29,2275
210,2019-07-30,2070
211,2019-07-31,2062
212,2019-08-01,1940
213,2019-08-02,1828
214,2019-08-03,2195
215,2019-08-04,1822
216,2019-08-05,1917
217,2019-08-06,1864
218,2019-08-07,1824
219,2019-08-08,2289
220,2019-08-09,2062
221,2019-08-10,2338
222,2019-08-11,3475
223,2019-08-12,4706
224,2019-08-13,5923
225,2019-08-14,4220
226,2019-08-15,3695
227,2019-08-16,3410
228,2019-08-17,2978
229,2019-08-18,3143
230,2019-08-19,3452
231,2019-08-20,3121
232,2019-08-21,3019
233,2019-08-22,3113
234,2019-08-23,2912
235,2019-08-24,2663
236,2019-08-25,2829
237,2019-08-26,3130
238,2019-08-27,3086
239,2019-08-28,3036
240,2019-08-29,2906
241,2019-08-30,2986
242,2019-08-31,2993
243,2019-09-01,2940
244,2019-09-02,3584
245,2019-09-03,2920
246,2019-09-04,2741
247,2019-09-05,2858
248,2019-09-06,2642
249,2019-09-07,2482
250,2019-09-08,2477
251,2019-09-09,2777
252,2019-09-10,2596
253,2019-09-11,2517
254,2019-09-12,2576
255,2019-09-13,2088
256,2019-09-14,2426
257,2019-09-15,2690
258,2019-09-16,3010
259,2019-09-17,2894
260,2019-09-18,2855
261,2019-09-19,2780
262,2019-09-20,2421
263,2019-09-21,2618
264,2019-09-22,2763
265,2019-09-23,2755
266,2019-09-24,2541
267,2019-09-25,2598
268,2019-09-26,2581
269,2019-09-27,2635
270,2019-09-28,2552
271,2019-09-29,2811
272,2019-09-30,2375
273,2019-10-01,1841
274,2019-10-02,2111
275,2019-10-03,2219
276,2019-10-04,2359
277,2019-10-05,2453
278,2019-10-06,2443
279,2019-10-07,2632
280,2019-10-08,2653
281,2019-10-09,2541
282,2019-10-10,2529
283,2019-10-11,2371
284,2019-10-12,3094
285,2019-10-13,2384
286,2019-10-14,2570
287,2019-10-15,2384
288,2019-10-16,2445
289,2019-10-17,2402
290,2019-10-18,2516
291,2019-10-19,2260
292,2019-10-20,2407
293,2019-10-21,2763
294,2019-10-22,2642
295,2019-10-23,2540
296,2019-10-24,2380
297,2019-10-25,2075
298,2019-10-26,1863
299,2019-10-27,2029
300,2019-10-28,2271
301,2019-10-29,2684
302,2019-10-30,2689
303,2019-10-31,2401
304,2019-11-01,2099
305,2019-11-02,2164
306,2019-11-03,2652
307,2019-11-04,2646
308,2019-11-05,2413
309,2019-11-06,2246
310,2019-11-07,2346
311,2019-11-08,2243
312,2019-11-09,2039
313,2019-11-10,2155
314,2019-11-11,2536
315,2019-11-12,2585
316,2019-11-13,2432
317,2019-11-14,2246
318,2019-11-15,2251
319,2019-11-16,2002
320,2019-11-17,2211
321,2019-11-18,2269
322,2019-11-19,2332
323,2019-11-20,2280
324,2019-11-21,2148
325,2019-11-22,2062
326,2019-11-23,1975
327,2019-11-24,2163
328,2019-11-25,2273
329,2019-11-26,2107
330,2019-11-27,2105
331,2019-11-28,2029
332,2019-11-29,1904
333,2019-11-30,1909
334,2019-12-01,2202
335,2019-12-02,2662
336,2019-12-03,2800
337,2019-12-04,2495
338,2019-12-05,2419
339,2019-12-06,2364
340,2019-12-07,1918
341,2019-12-08,2051
342,2019-12-09,2155
343,2019-12-10,2272
344,2019-12-11,2208
345,2019-12-12,1987
346,2019-12-13,2013
347,2019-12-14,1893
348,2019-12-15,2142
349,2019-12-16,2776
350,2019-12-17,2486
351,2019-12-18,2799
352,2019-12-19,2263
353,2019-12-20,2216
354,2019-12-21,2493
355,2019-12-22,2364
356,2019-12-23,2530
357,2019-12-24,2198
358,2019-12-25,2713
359,2019-12-26,2609
360,2019-12-27,2829
361,2019-12-28,2261
362,2019-12-29,2373
363,2019-12-30,2501
364,2019-12-31,2911
