小鲜肉,Date,DecryptedData
0,2014-01-01,246
1,2014-01-02,210
2,2014-01-03,224
3,2014-01-04,172
4,2014-01-05,215
5,2014-01-06,182
6,2014-01-07,175
7,2014-01-08,174
8,2014-01-09,161
9,2014-01-10,172
10,2014-01-11,181
11,2014-01-12,172
12,2014-01-13,184
13,2014-01-14,173
14,2014-01-15,182
15,2014-01-16,188
16,2014-01-17,148
17,2014-01-18,173
18,2014-01-19,162
19,2014-01-20,165
20,2014-01-21,189
21,2014-01-22,179
22,2014-01-23,205
23,2014-01-24,176
24,2014-01-25,161
25,2014-01-26,186
26,2014-01-27,182
27,2014-01-28,236
28,2014-01-29,207
29,2014-01-30,199
30,2014-01-31,222
31,2014-02-01,175
32,2014-02-02,175
33,2014-02-03,192
34,2014-02-04,163
35,2014-02-05,582
36,2014-02-06,423
37,2014-02-07,394
38,2014-02-08,334
39,2014-02-09,252
40,2014-02-10,311
41,2014-02-11,253
42,2014-02-12,257
43,2014-02-13,266
44,2014-02-14,213
45,2014-02-15,222
46,2014-02-16,206
47,2014-02-17,195
48,2014-02-18,214
49,2014-02-19,325
50,2014-02-20,247
51,2014-02-21,232
52,2014-02-22,216
53,2014-02-23,217
54,2014-02-24,218
55,2014-02-25,221
56,2014-02-26,382
57,2014-02-27,340
58,2014-02-28,297
59,2014-03-01,394
60,2014-03-02,320
61,2014-03-03,305
62,2014-03-04,306
63,2014-03-05,364
64,2014-03-06,367
65,2014-03-07,455
66,2014-03-08,333
67,2014-03-09,294
68,2014-03-10,308
69,2014-03-11,341
70,2014-03-12,408
71,2014-03-13,338
72,2014-03-14,330
73,2014-03-15,275
74,2014-03-16,376
75,2014-03-17,311
76,2014-03-18,297
77,2014-03-19,355
78,2014-03-20,368
79,2014-03-21,332
80,2014-03-22,319
81,2014-03-23,292
82,2014-03-24,294
83,2014-03-25,299
84,2014-03-26,265
85,2014-03-27,274
86,2014-03-28,241
87,2014-03-29,240
88,2014-03-30,274
89,2014-03-31,277
90,2014-04-01,247
91,2014-04-02,239
92,2014-04-03,197
93,2014-04-04,271
94,2014-04-05,280
95,2014-04-06,260
96,2014-04-07,281
97,2014-04-08,273
98,2014-04-09,265
99,2014-04-10,290
100,2014-04-11,289
101,2014-04-12,231
102,2014-04-13,263
103,2014-04-14,259
104,2014-04-15,271
105,2014-04-16,270
106,2014-04-17,288
107,2014-04-18,342
108,2014-04-19,284
109,2014-04-20,273
110,2014-04-21,296
111,2014-04-22,302
112,2014-04-23,292
113,2014-04-24,300
114,2014-04-25,258
115,2014-04-26,237
116,2014-04-27,257
117,2014-04-28,256
118,2014-04-29,232
119,2014-04-30,244
120,2014-05-01,282
121,2014-05-02,297
122,2014-05-03,316
123,2014-05-04,292
124,2014-05-05,252
125,2014-05-06,259
126,2014-05-07,248
127,2014-05-08,278
128,2014-05-09,317
129,2014-05-10,270
130,2014-05-11,291
131,2014-05-12,413
132,2014-05-13,374
133,2014-05-14,313
134,2014-05-15,295
135,2014-05-16,313
136,2014-05-17,293
137,2014-05-18,286
138,2014-05-19,263
139,2014-05-20,314
140,2014-05-21,312
141,2014-05-22,303
142,2014-05-23,297
143,2014-05-24,340
144,2014-05-25,487
145,2014-05-26,423
146,2014-05-27,346
147,2014-05-28,383
148,2014-05-29,402
149,2014-05-30,377
150,2014-05-31,419
151,2014-06-01,414
152,2014-06-02,459
153,2014-06-03,446
154,2014-06-04,510
155,2014-06-05,470
156,2014-06-06,517
157,2014-06-07,501
158,2014-06-08,470
159,2014-06-09,491
160,2014-06-10,499
161,2014-06-11,494
162,2014-06-12,558
163,2014-06-13,509
164,2014-06-14,432
165,2014-06-15,573
166,2014-06-16,559
167,2014-06-17,565
168,2014-06-18,537
169,2014-06-19,586
170,2014-06-20,535
171,2014-06-21,517
172,2014-06-22,521
173,2014-06-23,540
174,2014-06-24,576
175,2014-06-25,649
176,2014-06-26,612
177,2014-06-27,754
178,2014-06-28,468
179,2014-06-29,581
180,2014-06-30,553
181,2014-07-01,652
182,2014-07-02,1880
183,2014-07-03,1001
184,2014-07-04,628
185,2014-07-05,637
186,2014-07-06,714
187,2014-07-07,715
188,2014-07-08,664
189,2014-07-09,603
190,2014-07-10,649
191,2014-07-11,668
192,2014-07-12,688
193,2014-07-13,657
194,2014-07-14,841
195,2014-07-15,929
196,2014-07-16,889
197,2014-07-17,1107
198,2014-07-18,1708
199,2014-07-19,2063
200,2014-07-20,1911
201,2014-07-21,1733
202,2014-07-22,1725
203,2014-07-23,1800
204,2014-07-24,1751
205,2014-07-25,1750
206,2014-07-26,1638
207,2014-07-27,1595
208,2014-07-28,1692
209,2014-07-29,1743
210,2014-07-30,1744
211,2014-07-31,1737
212,2014-08-01,1800
213,2014-08-02,1483
214,2014-08-03,1497
215,2014-08-04,1652
216,2014-08-05,1675
217,2014-08-06,1770
218,2014-08-07,1706
219,2014-08-08,1724
220,2014-08-09,2825
221,2014-08-10,2186
222,2014-08-11,1904
223,2014-08-12,1896
224,2014-08-13,1950
225,2014-08-14,13101
226,2014-08-15,4638
227,2014-08-16,2892
228,2014-08-17,2769
229,2014-08-18,3716
230,2014-08-19,4934
231,2014-08-20,4453
232,2014-08-21,3961
233,2014-08-22,3453
234,2014-08-23,3421
235,2014-08-24,3018
236,2014-08-25,3188
237,2014-08-26,2760
238,2014-08-27,2684
239,2014-08-28,2810
240,2014-08-29,3028
241,2014-08-30,2767
242,2014-08-31,3170
243,2014-09-01,2768
244,2014-09-02,2743
245,2014-09-03,2805
246,2014-09-04,3356
247,2014-09-05,3061
248,2014-09-06,2629
249,2014-09-07,3054
250,2014-09-08,3161
251,2014-09-09,3124
252,2014-09-10,3530
253,2014-09-11,3847
254,2014-09-12,3619
255,2014-09-13,3713
256,2014-09-14,3611
257,2014-09-15,3460
258,2014-09-16,3118
259,2014-09-17,3133
260,2014-09-18,3101
261,2014-09-19,3654
262,2014-09-20,3407
263,2014-09-21,3239
264,2014-09-22,3432
265,2014-09-23,3446
266,2014-09-24,4217
267,2014-09-25,6721
268,2014-09-26,15530
269,2014-09-27,12095
270,2014-09-28,10767
271,2014-09-29,8422
272,2014-09-30,5863
273,2014-10-01,4924
274,2014-10-02,4519
275,2014-10-03,5145
276,2014-10-04,5173
277,2014-10-05,4820
278,2014-10-06,4163
279,2014-10-07,3875
280,2014-10-08,3670
281,2014-10-09,4803
282,2014-10-10,4114
283,2014-10-11,3911
284,2014-10-12,4297
285,2014-10-13,4985
286,2014-10-14,4001
287,2014-10-15,3920
288,2014-10-16,3615
289,2014-10-17,3680
290,2014-10-18,3711
291,2014-10-19,3641
292,2014-10-20,3958
293,2014-10-21,3578
294,2014-10-22,4172
295,2014-10-23,3972
296,2014-10-24,3849
297,2014-10-25,3586
298,2014-10-26,3289
299,2014-10-27,3058
300,2014-10-28,3044
301,2014-10-29,3575
302,2014-10-30,3268
303,2014-10-31,3859
304,2014-11-01,4208
305,2014-11-02,3584
306,2014-11-03,3435
307,2014-11-04,3665
308,2014-11-05,3800
309,2014-11-06,3608
310,2014-11-07,3572
311,2014-11-08,3178
312,2014-11-09,3071
313,2014-11-10,2670
314,2014-11-11,2406
315,2014-11-12,2637
316,2014-11-13,3168
317,2014-11-14,3679
318,2014-11-15,3658
319,2014-11-16,3073
320,2014-11-17,2679
321,2014-11-18,2962
322,2014-11-19,2902
323,2014-11-20,2832
324,2014-11-21,2799
325,2014-11-22,2887
326,2014-11-23,3608
327,2014-11-24,3305
328,2014-11-25,3050
329,2014-11-26,2838
330,2014-11-27,2705
331,2014-11-28,2868
332,2014-11-29,3070
333,2014-11-30,2588
334,2014-12-01,2455
335,2014-12-02,2302
336,2014-12-03,2446
337,2014-12-04,2440
338,2014-12-05,2535
339,2014-12-06,2609
340,2014-12-07,2537
341,2014-12-08,2460
342,2014-12-09,2627
343,2014-12-10,2589
344,2014-12-11,2497
345,2014-12-12,2421
346,2014-12-13,2660
347,2014-12-14,2651
348,2014-12-15,2428
349,2014-12-16,2871
350,2014-12-17,2752
351,2014-12-18,2383
352,2014-12-19,2696
353,2014-12-20,3155
354,2014-12-21,3198
355,2014-12-22,2692
356,2014-12-23,2457
357,2014-12-24,2551
358,2014-12-25,2659
359,2014-12-26,2676
360,2014-12-27,2969
361,2014-12-28,2864
362,2014-12-29,2758
363,2014-12-30,3137
364,2014-12-31,3910
