牛马,Date,DecryptedData
273,2021-10-01,2024
274,2021-10-02,2047
275,2021-10-03,1941
276,2021-10-04,2002
277,2021-10-05,2011
278,2021-10-06,1917
279,2021-10-07,1887
280,2021-10-08,1624
281,2021-10-09,1597
282,2021-10-10,1851
283,2021-10-11,1817
284,2021-10-12,1799
285,2021-10-13,1905
286,2021-10-14,1806
287,2021-10-15,1722
288,2021-10-16,1671
289,2021-10-17,1597
290,2021-10-18,1567
291,2021-10-19,1568
292,2021-10-20,1628
293,2021-10-21,1811
294,2021-10-22,1778
295,2021-10-23,1731
296,2021-10-24,1820
297,2021-10-25,1873
298,2021-10-26,1882
299,2021-10-27,1898
300,2021-10-28,1817
301,2021-10-29,1813
302,2021-10-30,1775
303,2021-10-31,1706
304,2021-11-01,1603
305,2021-11-02,1722
306,2021-11-03,1754
307,2021-11-04,1736
308,2021-11-05,1762
309,2021-11-06,1586
310,2021-11-07,1460
311,2021-11-08,1455
312,2021-11-09,1448
313,2021-11-10,1497
314,2021-11-11,1525
315,2021-11-12,1563
316,2021-11-13,1549
317,2021-11-14,1588
318,2021-11-15,1637
319,2021-11-16,1576
320,2021-11-17,1610
321,2021-11-18,1838
322,2021-11-19,1676
323,2021-11-20,1584
324,2021-11-21,1567
325,2021-11-22,1684
326,2021-11-23,1684
327,2021-11-24,1639
328,2021-11-25,1629
329,2021-11-26,1622
330,2021-11-27,1597
331,2021-11-28,1599
332,2021-11-29,1465
333,2021-11-30,1475
334,2021-12-01,1469
335,2021-12-02,1570
336,2021-12-03,1687
337,2021-12-04,1603
338,2021-12-05,1581
339,2021-12-06,1624
340,2021-12-07,1655
341,2021-12-08,1612
342,2021-12-09,1641
343,2021-12-10,1443
344,2021-12-11,1417
345,2021-12-12,1409
346,2021-12-13,1496
347,2021-12-14,1409
348,2021-12-15,1488
349,2021-12-16,1836
350,2021-12-17,1520
351,2021-12-18,1382
352,2021-12-19,1305
353,2021-12-20,1446
354,2021-12-21,5217
355,2021-12-22,6122
356,2021-12-23,2943
357,2021-12-24,2040
358,2021-12-25,1784
359,2021-12-26,1812
360,2021-12-27,1642
361,2021-12-28,1591
362,2021-12-29,1992
363,2021-12-30,2607
364,2021-12-31,1755
