battle,Date,DecryptedData
265,2018-09-23,3188
266,2018-09-24,3131
267,2018-09-25,2645
268,2018-09-26,2832
269,2018-09-27,2848
270,2018-09-28,2792
271,2018-09-29,2607
272,2018-09-30,2946
273,2018-10-01,2537
274,2018-10-02,2631
275,2018-10-03,2603
276,2018-10-04,2710
277,2018-10-05,2605
278,2018-10-06,2576
279,2018-10-07,2605
280,2018-10-08,2347
281,2018-10-09,2154
282,2018-10-10,2184
283,2018-10-11,2256
284,2018-10-12,2238
285,2018-10-13,2332
286,2018-10-14,2321
287,2018-10-15,2327
288,2018-10-16,2563
289,2018-10-17,2669
290,2018-10-18,2561
291,2018-10-19,2540
292,2018-10-20,2515
293,2018-10-21,2678
294,2018-10-22,2559
295,2018-10-23,2619
296,2018-10-24,2685
297,2018-10-25,2623
298,2018-10-26,2619
299,2018-10-27,2271
300,2018-10-28,2375
301,2018-10-29,2560
302,2018-10-30,2438
303,2018-10-31,2682
304,2018-11-01,2699
305,2018-11-02,2544
306,2018-11-03,2672
307,2018-11-04,2456
308,2018-11-05,2549
309,2018-11-06,2435
310,2018-11-07,2365
311,2018-11-08,2187
312,2018-11-09,2407
313,2018-11-10,2422
314,2018-11-11,2308
315,2018-11-12,2547
316,2018-11-13,2543
317,2018-11-14,2578
318,2018-11-15,2689
319,2018-11-16,2591
320,2018-11-17,2493
321,2018-11-18,2704
322,2018-11-19,2742
323,2018-11-20,2710
324,2018-11-21,2635
325,2018-11-22,2659
326,2018-11-23,2720
327,2018-11-24,2585
328,2018-11-25,2601
329,2018-11-26,2650
330,2018-11-27,2654
331,2018-11-28,2467
332,2018-11-29,2544
333,2018-11-30,2617
334,2018-12-01,2969
335,2018-12-02,2728
336,2018-12-03,2743
337,2018-12-04,2895
338,2018-12-05,2817
339,2018-12-06,2797
340,2018-12-07,2592
341,2018-12-08,2519
342,2018-12-09,2469
343,2018-12-10,2569
344,2018-12-11,2307
345,2018-12-12,2275
346,2018-12-13,2553
347,2018-12-14,2501
348,2018-12-15,2354
349,2018-12-16,2364
350,2018-12-17,2381
351,2018-12-18,2581
352,2018-12-19,2480
353,2018-12-20,2523
354,2018-12-21,2449
355,2018-12-22,2721
356,2018-12-23,2502
357,2018-12-24,2432
358,2018-12-25,2290
359,2018-12-26,2197
360,2018-12-27,2281
361,2018-12-28,2179
362,2018-12-29,2251
363,2018-12-30,2412
364,2018-12-31,3037
