上天台,Date,DecryptedData
285,2014-10-13,396
286,2014-10-14,406
287,2014-10-15,409
288,2014-10-16,394
289,2014-10-17,427
290,2014-10-18,464
291,2014-10-19,446
292,2014-10-20,415
293,2014-10-21,416
294,2014-10-22,412
295,2014-10-23,412
296,2014-10-24,540
297,2014-10-25,488
298,2014-10-26,440
299,2014-10-27,447
300,2014-10-28,452
301,2014-10-29,536
302,2014-10-30,451
303,2014-10-31,467
304,2014-11-01,494
305,2014-11-02,484
306,2014-11-03,412
307,2014-11-04,507
308,2014-11-05,524
309,2014-11-06,514
310,2014-11-07,483
311,2014-11-08,630
312,2014-11-09,763
313,2014-11-10,698
314,2014-11-11,539
315,2014-11-12,570
316,2014-11-13,499
317,2014-11-14,536
318,2014-11-15,495
319,2014-11-16,488
320,2014-11-17,692
321,2014-11-18,625
322,2014-11-19,499
323,2014-11-20,453
324,2014-11-21,448
325,2014-11-22,570
326,2014-11-23,520
327,2014-11-24,439
328,2014-11-25,371
329,2014-11-26,352
330,2014-11-27,382
331,2014-11-28,432
332,2014-11-29,491
333,2014-11-30,423
334,2014-12-01,329
335,2014-12-02,342
336,2014-12-03,341
337,2014-12-04,345
338,2014-12-05,428
339,2014-12-06,370
340,2014-12-07,402
341,2014-12-08,364
342,2014-12-09,454
343,2014-12-10,392
344,2014-12-11,361
345,2014-12-12,382
346,2014-12-13,364
347,2014-12-14,386
348,2014-12-15,352
349,2014-12-16,366
350,2014-12-17,372
351,2014-12-18,346
352,2014-12-19,384
353,2014-12-20,389
354,2014-12-21,370
355,2014-12-22,338
356,2014-12-23,323
357,2014-12-24,367
358,2014-12-25,366
359,2014-12-26,361
360,2014-12-27,428
361,2014-12-28,461
362,2014-12-29,453
363,2014-12-30,431
364,2014-12-31,465
