freestyle,Date,DecryptedData
279,2017-10-07,6132
280,2017-10-08,5847
281,2017-10-09,5258
282,2017-10-10,4950
283,2017-10-11,5106
284,2017-10-12,4911
285,2017-10-13,4770
286,2017-10-14,5034
287,2017-10-15,4957
288,2017-10-16,4837
289,2017-10-17,4789
290,2017-10-18,4500
291,2017-10-19,4365
292,2017-10-20,4442
293,2017-10-21,4797
294,2017-10-22,4721
295,2017-10-23,4174
296,2017-10-24,4099
297,2017-10-25,4197
298,2017-10-26,4379
299,2017-10-27,3937
300,2017-10-28,4255
301,2017-10-29,4697
302,2017-10-30,3922
303,2017-10-31,3822
304,2017-11-01,3658
305,2017-11-02,3507
306,2017-11-03,3437
307,2017-11-04,3560
308,2017-11-05,3727
309,2017-11-06,3525
310,2017-11-07,3240
311,2017-11-08,3127
312,2017-11-09,3104
313,2017-11-10,3024
314,2017-11-11,2952
315,2017-11-12,3251
316,2017-11-13,3173
317,2017-11-14,3047
318,2017-11-15,2929
319,2017-11-16,3055
320,2017-11-17,3144
321,2017-11-18,3397
322,2017-11-19,3274
323,2017-11-20,2849
324,2017-11-21,2870
325,2017-11-22,2931
326,2017-11-23,2901
327,2017-11-24,2744
328,2017-11-25,2870
329,2017-11-26,2889
330,2017-11-27,2731
331,2017-11-28,2821
332,2017-11-29,3044
333,2017-11-30,2850
334,2017-12-01,2784
335,2017-12-02,3003
336,2017-12-03,3052
337,2017-12-04,2687
338,2017-12-05,2677
339,2017-12-06,2655
340,2017-12-07,2579
341,2017-12-08,2661
342,2017-12-09,2833
343,2017-12-10,2745
344,2017-12-11,2888
345,2017-12-12,2713
346,2017-12-13,2764
347,2017-12-14,2703
348,2017-12-15,2594
349,2017-12-16,2663
350,2017-12-17,2634
351,2017-12-18,2903
352,2017-12-19,3003
353,2017-12-20,3092
354,2017-12-21,3598
355,2017-12-22,3140
356,2017-12-23,3195
357,2017-12-24,3001
358,2017-12-25,2750
359,2017-12-26,2777
360,2017-12-27,2771
361,2017-12-28,3151
362,2017-12-29,2939
363,2017-12-30,3064
364,2017-12-31,4421
