油腻,Date,DecryptedData
289,2017-10-17,260
290,2017-10-18,259
291,2017-10-19,256
292,2017-10-20,248
293,2017-10-21,295
294,2017-10-22,253
295,2017-10-23,243
296,2017-10-24,218
297,2017-10-25,242
298,2017-10-26,285
299,2017-10-27,450
300,2017-10-28,828
301,2017-10-29,1163
302,2017-10-30,1871
303,2017-10-31,1824
304,2017-11-01,1830
305,2017-11-02,2047
306,2017-11-03,1840
307,2017-11-04,1401
308,2017-11-05,1386
309,2017-11-06,1763
310,2017-11-07,1735
311,2017-11-08,1620
312,2017-11-09,1454
313,2017-11-10,1216
314,2017-11-11,877
315,2017-11-12,948
316,2017-11-13,1248
317,2017-11-14,1124
318,2017-11-15,1126
319,2017-11-16,1285
320,2017-11-17,1193
321,2017-11-18,835
322,2017-11-19,762
323,2017-11-20,1084
324,2017-11-21,933
325,2017-11-22,860
326,2017-11-23,818
327,2017-11-24,788
328,2017-11-25,631
329,2017-11-26,668
330,2017-11-27,803
331,2017-11-28,863
332,2017-11-29,864
333,2017-11-30,898
334,2017-12-01,812
335,2017-12-02,695
336,2017-12-03,768
337,2017-12-04,804
338,2017-12-05,781
339,2017-12-06,704
340,2017-12-07,787
341,2017-12-08,693
342,2017-12-09,667
343,2017-12-10,667
344,2017-12-11,686
345,2017-12-12,746
346,2017-12-13,1038
347,2017-12-14,1041
348,2017-12-15,1042
349,2017-12-16,915
350,2017-12-17,905
351,2017-12-18,1096
352,2017-12-19,1228
353,2017-12-20,1276
354,2017-12-21,1591
355,2017-12-22,1329
356,2017-12-23,1072
357,2017-12-24,1049
358,2017-12-25,1046
359,2017-12-26,940
360,2017-12-27,1005
361,2017-12-28,930
362,2017-12-29,922
363,2017-12-30,1078
364,2017-12-31,1089
