撕逼,Date,DecryptedData
279,2014-10-07,3813
280,2014-10-08,3657
281,2014-10-09,3191
282,2014-10-10,3510
283,2014-10-11,3135
284,2014-10-12,2776
285,2014-10-13,2816
286,2014-10-14,2516
287,2014-10-15,2880
288,2014-10-16,2765
289,2014-10-17,3049
290,2014-10-18,4152
291,2014-10-19,3755
292,2014-10-20,4153
293,2014-10-21,3811
294,2014-10-22,4103
295,2014-10-23,3732
296,2014-10-24,4160
297,2014-10-25,3830
298,2014-10-26,4117
299,2014-10-27,5784
300,2014-10-28,5185
301,2014-10-29,4981
302,2014-10-30,4308
303,2014-10-31,4005
304,2014-11-01,3782
305,2014-11-02,4171
306,2014-11-03,4361
307,2014-11-04,4314
308,2014-11-05,4010
309,2014-11-06,3982
310,2014-11-07,5626
311,2014-11-08,9317
312,2014-11-09,6030
313,2014-11-10,4598
314,2014-11-11,3519
315,2014-11-12,3825
316,2014-11-13,3805
317,2014-11-14,3641
318,2014-11-15,3908
319,2014-11-16,3782
320,2014-11-17,3312
321,2014-11-18,3586
322,2014-11-19,3319
323,2014-11-20,3536
324,2014-11-21,3125
325,2014-11-22,3054
326,2014-11-23,3062
327,2014-11-24,2626
328,2014-11-25,2831
329,2014-11-26,3175
330,2014-11-27,10149
331,2014-11-28,13541
332,2014-11-29,12892
333,2014-11-30,9383
334,2014-12-01,8025
335,2014-12-02,8345
336,2014-12-03,7603
337,2014-12-04,7320
338,2014-12-05,6548
339,2014-12-06,6187
340,2014-12-07,6403
341,2014-12-08,5468
342,2014-12-09,5107
343,2014-12-10,6427
344,2014-12-11,5931
345,2014-12-12,4918
346,2014-12-13,4522
347,2014-12-14,4725
348,2014-12-15,4437
349,2014-12-16,4236
350,2014-12-17,4805
351,2014-12-18,4389
352,2014-12-19,4497
353,2014-12-20,4299
354,2014-12-21,4432
355,2014-12-22,3746
356,2014-12-23,3463
357,2014-12-24,3308
358,2014-12-25,4465
359,2014-12-26,4428
360,2014-12-27,4770
361,2014-12-28,4866
362,2014-12-29,5377
363,2014-12-30,6354
364,2014-12-31,5477
