怪我咯,Date,DecryptedData
0,2014-01-01,327
1,2014-01-02,284
2,2014-01-03,270
3,2014-01-04,284
4,2014-01-05,308
5,2014-01-06,315
6,2014-01-07,245
7,2014-01-08,252
8,2014-01-09,217
9,2014-01-10,259
10,2014-01-11,259
11,2014-01-12,284
12,2014-01-13,268
13,2014-01-14,263
14,2014-01-15,290
15,2014-01-16,274
16,2014-01-17,276
17,2014-01-18,255
18,2014-01-19,281
19,2014-01-20,281
20,2014-01-21,262
21,2014-01-22,308
22,2014-01-23,328
23,2014-01-24,237
24,2014-01-25,291
25,2014-01-26,302
26,2014-01-27,308
27,2014-01-28,281
28,2014-01-29,280
29,2014-01-30,240
30,2014-01-31,273
31,2014-02-01,260
32,2014-02-02,251
33,2014-02-03,278
34,2014-02-04,333
35,2014-02-05,381
36,2014-02-06,306
37,2014-02-07,353
38,2014-02-08,328
39,2014-02-09,331
40,2014-02-10,308
41,2014-02-11,336
42,2014-02-12,330
43,2014-02-13,337
44,2014-02-14,397
45,2014-02-15,355
46,2014-02-16,356
47,2014-02-17,328
48,2014-02-18,362
49,2014-02-19,317
50,2014-02-20,364
51,2014-02-21,347
52,2014-02-22,342
53,2014-02-23,389
54,2014-02-24,378
55,2014-02-25,343
56,2014-02-26,367
57,2014-02-27,417
58,2014-02-28,349
59,2014-03-01,333
60,2014-03-02,324
61,2014-03-03,313
62,2014-03-04,339
63,2014-03-05,336
64,2014-03-06,324
65,2014-03-07,335
66,2014-03-08,336
67,2014-03-09,346
68,2014-03-10,325
69,2014-03-11,354
70,2014-03-12,341
71,2014-03-13,322
72,2014-03-14,326
73,2014-03-15,311
74,2014-03-16,370
75,2014-03-17,416
76,2014-03-18,361
77,2014-03-19,401
78,2014-03-20,377
79,2014-03-21,336
80,2014-03-22,359
81,2014-03-23,367
82,2014-03-24,376
83,2014-03-25,348
84,2014-03-26,389
85,2014-03-27,335
86,2014-03-28,362
87,2014-03-29,385
88,2014-03-30,433
89,2014-03-31,379
90,2014-04-01,417
91,2014-04-02,378
92,2014-04-03,344
93,2014-04-04,356
94,2014-04-05,349
95,2014-04-06,389
96,2014-04-07,476
97,2014-04-08,506
98,2014-04-09,423
99,2014-04-10,462
100,2014-04-11,425
101,2014-04-12,416
102,2014-04-13,437
103,2014-04-14,437
104,2014-04-15,467
105,2014-04-16,441
106,2014-04-17,364
107,2014-04-18,369
108,2014-04-19,359
109,2014-04-20,447
110,2014-04-21,393
111,2014-04-22,401
112,2014-04-23,385
113,2014-04-24,423
114,2014-04-25,562
115,2014-04-26,455
116,2014-04-27,449
117,2014-04-28,461
118,2014-04-29,396
119,2014-04-30,418
120,2014-05-01,391
121,2014-05-02,448
122,2014-05-03,455
123,2014-05-04,436
124,2014-05-05,527
125,2014-05-06,508
126,2014-05-07,503
127,2014-05-08,662
128,2014-05-09,458
129,2014-05-10,554
130,2014-05-11,478
131,2014-05-12,549
132,2014-05-13,545
133,2014-05-14,474
134,2014-05-15,514
135,2014-05-16,451
136,2014-05-17,414
137,2014-05-18,408
138,2014-05-19,425
139,2014-05-20,382
140,2014-05-21,448
141,2014-05-22,389
142,2014-05-23,405
143,2014-05-24,778
144,2014-05-25,550
145,2014-05-26,503
146,2014-05-27,450
147,2014-05-28,387
148,2014-05-29,420
149,2014-05-30,371
150,2014-05-31,336
151,2014-06-01,409
152,2014-06-02,457
153,2014-06-03,407
154,2014-06-04,480
155,2014-06-05,399
156,2014-06-06,434
157,2014-06-07,423
158,2014-06-08,456
159,2014-06-09,430
160,2014-06-10,405
161,2014-06-11,429
162,2014-06-12,427
163,2014-06-13,409
164,2014-06-14,469
165,2014-06-15,473
166,2014-06-16,400
167,2014-06-17,477
168,2014-06-18,428
169,2014-06-19,504
170,2014-06-20,511
171,2014-06-21,596
172,2014-06-22,592
173,2014-06-23,543
174,2014-06-24,569
175,2014-06-25,558
176,2014-06-26,482
177,2014-06-27,537
178,2014-06-28,471
179,2014-06-29,513
180,2014-06-30,587
181,2014-07-01,532
182,2014-07-02,516
183,2014-07-03,541
184,2014-07-04,551
185,2014-07-05,559
186,2014-07-06,532
187,2014-07-07,569
188,2014-07-08,590
189,2014-07-09,667
190,2014-07-10,711
191,2014-07-11,622
192,2014-07-12,698
193,2014-07-13,583
194,2014-07-14,745
195,2014-07-15,646
196,2014-07-16,689
197,2014-07-17,747
198,2014-07-18,634
