神器,Date,DecryptedData
265,2014-09-23,1297
266,2014-09-24,1310
267,2014-09-25,1373
268,2014-09-26,1378
269,2014-09-27,1440
270,2014-09-28,1468
271,2014-09-29,1321
272,2014-09-30,1349
273,2014-10-01,1529
274,2014-10-02,1445
275,2014-10-03,1489
276,2014-10-04,1446
277,2014-10-05,1466
278,2014-10-06,1593
279,2014-10-07,1286
280,2014-10-08,1296
281,2014-10-09,1299
282,2014-10-10,1316
283,2014-10-11,1387
284,2014-10-12,1519
285,2014-10-13,1241
286,2014-10-14,1125
287,2014-10-15,1195
288,2014-10-16,1257
289,2014-10-17,1455
290,2014-10-18,1577
291,2014-10-19,1492
292,2014-10-20,1231
293,2014-10-21,1327
294,2014-10-22,1318
295,2014-10-23,1234
296,2014-10-24,1255
297,2014-10-25,1415
298,2014-10-26,1418
299,2014-10-27,1258
300,2014-10-28,1158
301,2014-10-29,1357
302,2014-10-30,1274
303,2014-10-31,1385
304,2014-11-01,1451
305,2014-11-02,1369
306,2014-11-03,1230
307,2014-11-04,1262
308,2014-11-05,1183
309,2014-11-06,1170
310,2014-11-07,1186
311,2014-11-08,1387
312,2014-11-09,1346
313,2014-11-10,1191
314,2014-11-11,1143
315,2014-11-12,1198
316,2014-11-13,1137
317,2014-11-14,1235
318,2014-11-15,1423
319,2014-11-16,1370
320,2014-11-17,1193
321,2014-11-18,1197
322,2014-11-19,1174
323,2014-11-20,1244
324,2014-11-21,1268
325,2014-11-22,1507
326,2014-11-23,1383
327,2014-11-24,1326
328,2014-11-25,1338
329,2014-11-26,1328
330,2014-11-27,1318
331,2014-11-28,1272
332,2014-11-29,1451
333,2014-11-30,1300
334,2014-12-01,1227
335,2014-12-02,1105
336,2014-12-03,1174
337,2014-12-04,1114
338,2014-12-05,1102
339,2014-12-06,1312
340,2014-12-07,1307
341,2014-12-08,1175
342,2014-12-09,1171
343,2014-12-10,1149
344,2014-12-11,1212
345,2014-12-12,1154
346,2014-12-13,1382
347,2014-12-14,1302
348,2014-12-15,1184
349,2014-12-16,1332
350,2014-12-17,1507
351,2014-12-18,1261
352,2014-12-19,1197
353,2014-12-20,1262
354,2014-12-21,1188
355,2014-12-22,1147
356,2014-12-23,1126
357,2014-12-24,1129
358,2014-12-25,1178
359,2014-12-26,1148
360,2014-12-27,1294
361,2014-12-28,1213
362,2014-12-29,1215
363,2014-12-30,1265
364,2014-12-31,1328
