赶脚,Date,DecryptedData
288,2013-10-16,581
289,2013-10-17,582
290,2013-10-18,612
291,2013-10-19,685
292,2013-10-20,675
293,2013-10-21,625
294,2013-10-22,652
295,2013-10-23,691
296,2013-10-24,562
297,2013-10-25,643
298,2013-10-26,591
299,2013-10-27,595
300,2013-10-28,602
301,2013-10-29,556
302,2013-10-30,551
303,2013-10-31,539
304,2013-11-01,614
305,2013-11-02,590
306,2013-11-03,597
307,2013-11-04,577
308,2013-11-05,561
309,2013-11-06,582
310,2013-11-07,587
311,2013-11-08,552
312,2013-11-09,577
313,2013-11-10,590
314,2013-11-11,510
315,2013-11-12,576
316,2013-11-13,566
317,2013-11-14,567
318,2013-11-15,512
319,2013-11-16,521
320,2013-11-17,556
321,2013-11-18,591
322,2013-11-19,593
323,2013-11-20,506
324,2013-11-21,534
325,2013-11-22,507
326,2013-11-23,582
327,2013-11-24,561
328,2013-11-25,524
329,2013-11-26,523
330,2013-11-27,567
331,2013-11-28,528
332,2013-11-29,531
333,2013-11-30,491
334,2013-12-01,536
335,2013-12-02,548
336,2013-12-03,461
337,2013-12-04,513
338,2013-12-05,452
339,2013-12-06,588
340,2013-12-07,550
341,2013-12-08,570
342,2013-12-09,601
343,2013-12-10,632
344,2013-12-11,521
345,2013-12-12,524
346,2013-12-13,528
347,2013-12-14,513
348,2013-12-15,530
349,2013-12-16,581
350,2013-12-17,530
351,2013-12-18,473
352,2013-12-19,478
353,2013-12-20,468
354,2013-12-21,462
355,2013-12-22,532
356,2013-12-23,463
357,2013-12-24,442
358,2013-12-25,532
359,2013-12-26,500
360,2013-12-27,434
361,2013-12-28,493
362,2013-12-29,572
363,2013-12-30,470
364,2013-12-31,467
