小仙女,Date,DecryptedData
268,2017-09-26,1258
269,2017-09-27,1231
270,2017-09-28,1208
271,2017-09-29,1239
272,2017-09-30,1281
273,2017-10-01,1322
274,2017-10-02,1397
275,2017-10-03,1413
276,2017-10-04,1411
277,2017-10-05,1271
278,2017-10-06,1328
279,2017-10-07,1285
280,2017-10-08,1234
281,2017-10-09,1362
282,2017-10-10,1290
283,2017-10-11,1258
284,2017-10-12,1210
285,2017-10-13,1285
286,2017-10-14,1275
287,2017-10-15,1250
288,2017-10-16,1220
289,2017-10-17,1315
290,2017-10-18,1209
291,2017-10-19,1225
292,2017-10-20,1236
293,2017-10-21,1278
294,2017-10-22,1257
295,2017-10-23,1196
296,2017-10-24,1198
297,2017-10-25,1259
298,2017-10-26,1213
299,2017-10-27,1239
300,2017-10-28,1285
301,2017-10-29,20927
302,2017-10-30,19183
303,2017-10-31,7991
304,2017-11-01,4948
305,2017-11-02,3314
306,2017-11-03,2998
307,2017-11-04,2708
308,2017-11-05,2342
309,2017-11-06,2101
310,2017-11-07,1813
311,2017-11-08,1747
312,2017-11-09,1620
313,2017-11-10,1482
314,2017-11-11,1456
315,2017-11-12,1559
316,2017-11-13,1448
317,2017-11-14,1355
318,2017-11-15,1422
319,2017-11-16,1356
320,2017-11-17,1384
321,2017-11-18,1402
322,2017-11-19,1305
323,2017-11-20,1271
324,2017-11-21,1353
325,2017-11-22,1363
326,2017-11-23,1338
327,2017-11-24,1229
328,2017-11-25,1288
329,2017-11-26,1256
330,2017-11-27,1303
331,2017-11-28,1334
332,2017-11-29,1273
333,2017-11-30,1376
334,2017-12-01,1288
335,2017-12-02,1323
336,2017-12-03,1304
337,2017-12-04,1230
338,2017-12-05,1278
339,2017-12-06,1889
340,2017-12-07,4213
341,2017-12-08,3185
342,2017-12-09,2435
343,2017-12-10,2021
344,2017-12-11,1686
345,2017-12-12,1649
346,2017-12-13,1574
347,2017-12-14,1702
348,2017-12-15,1531
349,2017-12-16,1557
350,2017-12-17,1531
351,2017-12-18,1496
352,2017-12-19,1505
353,2017-12-20,1418
354,2017-12-21,1460
355,2017-12-22,1394
356,2017-12-23,1523
357,2017-12-24,1460
358,2017-12-25,1376
359,2017-12-26,1355
360,2017-12-27,1372
361,2017-12-28,1421
362,2017-12-29,1491
363,2017-12-30,1574
364,2017-12-31,1494
