工匠精神,Date,DecryptedData
265,2018-09-23,1207
266,2018-09-24,1670
267,2018-09-25,1798
268,2018-09-26,1901
269,2018-09-27,1790
270,2018-09-28,1691
271,2018-09-29,1527
272,2018-09-30,1534
273,2018-10-01,1113
274,2018-10-02,1211
275,2018-10-03,1297
276,2018-10-04,1230
277,2018-10-05,1374
278,2018-10-06,1639
279,2018-10-07,2268
280,2018-10-08,2143
281,2018-10-09,2204
282,2018-10-10,2241
283,2018-10-11,2384
284,2018-10-12,2003
285,2018-10-13,1618
286,2018-10-14,2263
287,2018-10-15,2439
288,2018-10-16,2352
289,2018-10-17,2355
290,2018-10-18,2293
291,2018-10-19,2064
292,2018-10-20,1772
293,2018-10-21,2296
294,2018-10-22,2308
295,2018-10-23,2376
296,2018-10-24,2481
297,2018-10-25,2465
298,2018-10-26,2245
299,2018-10-27,1605
300,2018-10-28,2090
301,2018-10-29,2461
302,2018-10-30,2264
303,2018-10-31,2237
304,2018-11-01,2109
305,2018-11-02,2033
306,2018-11-03,1578
307,2018-11-04,2106
308,2018-11-05,2387
309,2018-11-06,2402
310,2018-11-07,2493
311,2018-11-08,2067
312,2018-11-09,1809
313,2018-11-10,1498
314,2018-11-11,1602
315,2018-11-12,1916
316,2018-11-13,1934
317,2018-11-14,2090
318,2018-11-15,2060
319,2018-11-16,1941
320,2018-11-17,1546
321,2018-11-18,1944
322,2018-11-19,2198
323,2018-11-20,2164
324,2018-11-21,2183
325,2018-11-22,2171
326,2018-11-23,1949
327,2018-11-24,1536
328,2018-11-25,1796
329,2018-11-26,1986
330,2018-11-27,1993
331,2018-11-28,2043
332,2018-11-29,2185
333,2018-11-30,1934
334,2018-12-01,1583
335,2018-12-02,1898
336,2018-12-03,1963
337,2018-12-04,2131
338,2018-12-05,2092
339,2018-12-06,2132
340,2018-12-07,1885
341,2018-12-08,1563
342,2018-12-09,1938
343,2018-12-10,2012
344,2018-12-11,1986
345,2018-12-12,1997
346,2018-12-13,2100
347,2018-12-14,1808
348,2018-12-15,1581
349,2018-12-16,1817
350,2018-12-17,2061
351,2018-12-18,2139
352,2018-12-19,2167
353,2018-12-20,2163
354,2018-12-21,2035
355,2018-12-22,1540
356,2018-12-23,1796
357,2018-12-24,1984
358,2018-12-25,2010
359,2018-12-26,2003
360,2018-12-27,1948
361,2018-12-28,1754
362,2018-12-29,1529
363,2018-12-30,1238
364,2018-12-31,1290
