duang,Date,DecryptedData
270,2015-09-28,2223
271,2015-09-29,2353
272,2015-09-30,2265
273,2015-10-01,1877
274,2015-10-02,2094
275,2015-10-03,2458
276,2015-10-04,1991
277,2015-10-05,2057
278,2015-10-06,1921
279,2015-10-07,1963
280,2015-10-08,1910
281,2015-10-09,1837
282,2015-10-10,1959
283,2015-10-11,1830
284,2015-10-12,1774
285,2015-10-13,2400
286,2015-10-14,1928
287,2015-10-15,2071
288,2015-10-16,2565
289,2015-10-17,1991
290,2015-10-18,1829
291,2015-10-19,1870
292,2015-10-20,1829
293,2015-10-21,2294
294,2015-10-22,2966
295,2015-10-23,2150
296,2015-10-24,2439
297,2015-10-25,2922
298,2015-10-26,3586
299,2015-10-27,2824
300,2015-10-28,3386
301,2015-10-29,3283
302,2015-10-30,2525
303,2015-10-31,1863
304,2015-11-01,1806
305,2015-11-02,2154
306,2015-11-03,2274
307,2015-11-04,2301
308,2015-11-05,3291
309,2015-11-06,2800
310,2015-11-07,2267
311,2015-11-08,2126
312,2015-11-09,2111
313,2015-11-10,2126
314,2015-11-11,2041
315,2015-11-12,2043
316,2015-11-13,2001
317,2015-11-14,1872
318,2015-11-15,2115
319,2015-11-16,2328
320,2015-11-17,2119
321,2015-11-18,2367
322,2015-11-19,2052
323,2015-11-20,2320
324,2015-11-21,1873
325,2015-11-22,1937
326,2015-11-23,2258
327,2015-11-24,2323
328,2015-11-25,2443
329,2015-11-26,2068
330,2015-11-27,1941
331,2015-11-28,1878
332,2015-11-29,1798
333,2015-11-30,1906
334,2015-12-01,2105
335,2015-12-02,2135
336,2015-12-03,4287
337,2015-12-04,2425
338,2015-12-05,2000
339,2015-12-06,1837
340,2015-12-07,2243
341,2015-12-08,2423
342,2015-12-09,2437
343,2015-12-10,2228
344,2015-12-11,2249
345,2015-12-12,1981
346,2015-12-13,1861
347,2015-12-14,2331
348,2015-12-15,2362
349,2015-12-16,2310
350,2015-12-17,2492
351,2015-12-18,2338
352,2015-12-19,1828
353,2015-12-20,1823
354,2015-12-21,2197
355,2015-12-22,2362
356,2015-12-23,2642
357,2015-12-24,2209
358,2015-12-25,2326
359,2015-12-26,1857
360,2015-12-27,1900
361,2015-12-28,2436
362,2015-12-29,2385
363,2015-12-30,2360
364,2015-12-31,2664
