广场舞,Date,DecryptedData
265,2013-09-23,83017
266,2013-09-24,72058
267,2013-09-25,69343
268,2013-09-26,66037
269,2013-09-27,67310
270,2013-09-28,64465
271,2013-09-29,65017
272,2013-09-30,62142
273,2013-10-01,57588
274,2013-10-02,58009
275,2013-10-03,57752
276,2013-10-04,59406
277,2013-10-05,61338
278,2013-10-06,66311
279,2013-10-07,67143
280,2013-10-08,69262
281,2013-10-09,68749
282,2013-10-10,72769
283,2013-10-11,80257
284,2013-10-12,77917
285,2013-10-13,66493
286,2013-10-14,77420
287,2013-10-15,70068
288,2013-10-16,67652
289,2013-10-17,64097
290,2013-10-18,62641
291,2013-10-19,58964
292,2013-10-20,59308
293,2013-10-21,64622
294,2013-10-22,65003
295,2013-10-23,64257
296,2013-10-24,65465
297,2013-10-25,64785
298,2013-10-26,60440
299,2013-10-27,58991
300,2013-10-28,63700
301,2013-10-29,67029
302,2013-10-30,71361
303,2013-10-31,70913
304,2013-11-01,70293
305,2013-11-02,61528
306,2013-11-03,57943
307,2013-11-04,63018
308,2013-11-05,67349
309,2013-11-06,66530
310,2013-11-07,65377
311,2013-11-08,67073
312,2013-11-09,65041
313,2013-11-10,62077
314,2013-11-11,61794
315,2013-11-12,63937
316,2013-11-13,61884
317,2013-11-14,59285
318,2013-11-15,58360
319,2013-11-16,53712
320,2013-11-17,55513
321,2013-11-18,59451
322,2013-11-19,63645
323,2013-11-20,61789
324,2013-11-21,64475
325,2013-11-22,65116
326,2013-11-23,64722
327,2013-11-24,68292
328,2013-11-25,58577
329,2013-11-26,61455
330,2013-11-27,63308
331,2013-11-28,54363
332,2013-11-29,52034
333,2013-11-30,49908
334,2013-12-01,51230
335,2013-12-02,57278
336,2013-12-03,61292
337,2013-12-04,62514
338,2013-12-05,64729
339,2013-12-06,62981
340,2013-12-07,58975
341,2013-12-08,59905
342,2013-12-09,59015
343,2013-12-10,61919
344,2013-12-11,59146
345,2013-12-12,59115
346,2013-12-13,56741
347,2013-12-14,55988
348,2013-12-15,59786
349,2013-12-16,63701
350,2013-12-17,61489
351,2013-12-18,55168
352,2013-12-19,53860
353,2013-12-20,50883
354,2013-12-21,44856
355,2013-12-22,44129
356,2013-12-23,49520
357,2013-12-24,50522
358,2013-12-25,50791
359,2013-12-26,52377
360,2013-12-27,47372
361,2013-12-28,44205
362,2013-12-29,44253
363,2013-12-30,47099
364,2013-12-31,46066
