且行且珍惜,Date,DecryptedData
0,2019-01-01,2999
1,2019-01-02,2524
2,2019-01-03,2315
3,2019-01-04,2231
4,2019-01-05,2286
5,2019-01-06,2264
6,2019-01-07,2123
7,2019-01-08,2236
8,2019-01-09,2239
9,2019-01-10,2329
10,2019-01-11,2246
11,2019-01-12,2122
12,2019-01-13,2540
13,2019-01-14,2471
14,2019-01-15,2446
15,2019-01-16,2492
16,2019-01-17,2363
17,2019-01-18,2235
18,2019-01-19,2604
19,2019-01-20,3645
20,2019-01-21,3134
21,2019-01-22,2979
22,2019-01-23,2596
23,2019-01-24,2559
24,2019-01-25,2445
25,2019-01-26,2117
26,2019-01-27,2613
27,2019-01-28,2430
28,2019-01-29,2114
29,2019-01-30,1911
30,2019-01-31,1870
31,2019-02-01,1762
32,2019-02-02,1658
33,2019-02-03,1523
34,2019-02-04,1701
35,2019-02-05,1859
36,2019-02-06,2143
37,2019-02-07,2409
38,2019-02-08,2399
39,2019-02-09,2189
40,2019-02-10,2153
41,2019-02-11,2000
42,2019-02-12,2028
43,2019-02-13,2140
44,2019-02-14,2548
45,2019-02-15,2247
46,2019-02-16,2882
47,2019-02-17,2118
48,2019-02-18,2073
49,2019-02-19,1951
50,2019-02-20,1935
51,2019-02-21,2040
52,2019-02-22,6691
53,2019-02-23,6187
54,2019-02-24,4686
55,2019-02-25,3233
56,2019-02-26,2646
57,2019-02-27,2404
58,2019-02-28,2198
59,2019-03-01,1915
60,2019-03-02,3370
61,2019-03-03,3823
62,2019-03-04,3039
63,2019-03-05,2678
64,2019-03-06,2251
65,2019-03-07,2254
66,2019-03-08,2113
67,2019-03-09,2097
68,2019-03-10,2280
69,2019-03-11,2248
70,2019-03-12,2110
71,2019-03-13,2326
72,2019-03-14,2207
73,2019-03-15,2020
74,2019-03-16,2116
75,2019-03-17,2351
76,2019-03-18,2215
77,2019-03-19,2342
78,2019-03-20,2501
79,2019-03-21,4411
80,2019-03-22,3061
81,2019-03-23,2300
82,2019-03-24,2270
83,2019-03-25,2117
84,2019-03-26,1895
85,2019-03-27,2166
86,2019-03-28,2083
87,2019-03-29,2242
88,2019-03-30,2331
89,2019-03-31,2492
90,2019-04-01,2371
91,2019-04-02,2486
92,2019-04-03,2525
93,2019-04-04,2203
94,2019-04-05,2128
95,2019-04-06,2098
96,2019-04-07,2256
97,2019-04-08,2221
98,2019-04-09,2271
99,2019-04-10,2399
100,2019-04-11,2362
101,2019-04-12,2467
102,2019-04-13,2138
103,2019-04-14,2350
104,2019-04-15,2392
105,2019-04-16,2770
106,2019-04-17,2735
107,2019-04-18,2874
108,2019-04-19,2553
109,2019-04-20,2690
110,2019-04-21,2772
111,2019-04-22,2629
112,2019-04-23,2316
113,2019-04-24,2257
114,2019-04-25,2138
115,2019-04-26,2498
116,2019-04-27,2522
117,2019-04-28,2310
118,2019-04-29,2569
119,2019-04-30,2558
120,2019-05-01,2437
121,2019-05-02,2429
122,2019-05-03,2551
123,2019-05-04,3023
124,2019-05-05,3280
125,2019-05-06,3098
126,2019-05-07,2765
127,2019-05-08,2740
128,2019-05-09,2597
129,2019-05-10,2472
130,2019-05-11,2476
131,2019-05-12,2540
132,2019-05-13,2461
133,2019-05-14,2524
134,2019-05-15,2301
135,2019-05-16,2451
136,2019-05-17,2141
137,2019-05-18,2059
138,2019-05-19,2227
139,2019-05-20,2190
140,2019-05-21,2005
141,2019-05-22,1918
142,2019-05-23,1971
143,2019-05-24,1814
144,2019-05-25,2041
145,2019-05-26,2179
146,2019-05-27,2076
147,2019-05-28,2092
148,2019-05-29,1998
149,2019-05-30,1965
150,2019-05-31,2153
151,2019-06-01,2006
152,2019-06-02,2179
153,2019-06-03,2235
154,2019-06-04,2653
155,2019-06-05,2278
156,2019-06-06,2155
157,2019-06-07,1984
158,2019-06-08,1832
159,2019-06-09,2362
160,2019-06-10,2393
161,2019-06-11,2460
162,2019-06-12,2676
163,2019-06-13,2832
164,2019-06-14,2481
165,2019-06-15,2124
166,2019-06-16,2233
167,2019-06-17,1980
168,2019-06-18,2099
169,2019-06-19,1823
170,2019-06-20,1778
171,2019-06-21,1623
172,2019-06-22,1646
173,2019-06-23,1643
174,2019-06-24,1696
175,2019-06-25,1957
176,2019-06-26,1879
177,2019-06-27,2394
178,2019-06-28,2123
179,2019-06-29,1768
180,2019-06-30,1656
181,2019-07-01,1609
182,2019-07-02,1556
183,2019-07-03,1573
184,2019-07-04,1584
185,2019-07-05,1752
186,2019-07-06,1621
187,2019-07-07,1650
188,2019-07-08,1772
189,2019-07-09,1715
190,2019-07-10,1656
191,2019-07-11,1651
192,2019-07-12,1775
193,2019-07-13,1665
194,2019-07-14,1815
195,2019-07-15,1950
196,2019-07-16,1821
197,2019-07-17,1706
198,2019-07-18,1514
199,2019-07-19,1683
200,2019-07-20,1867
201,2019-07-21,1807
202,2019-07-22,1966
203,2019-07-23,1923
204,2019-07-24,1966
205,2019-07-25,2096
