栓Q,Date,DecryptedData
280,2022-10-08,2062
281,2022-10-09,1866
282,2022-10-10,1929
283,2022-10-11,1914
284,2022-10-12,2217
285,2022-10-13,2161
286,2022-10-14,1978
287,2022-10-15,1644
288,2022-10-16,1569
289,2022-10-17,1770
290,2022-10-18,1820
291,2022-10-19,1681
292,2022-10-20,1701
293,2022-10-21,1642
294,2022-10-22,1430
295,2022-10-23,1402
296,2022-10-24,1671
297,2022-10-25,1639
298,2022-10-26,1596
299,2022-10-27,1532
300,2022-10-28,1506
301,2022-10-29,1248
302,2022-10-30,1150
303,2022-10-31,1474
304,2022-11-01,1467
305,2022-11-02,1398
306,2022-11-03,1412
307,2022-11-04,1464
308,2022-11-05,1171
309,2022-11-06,1098
310,2022-11-07,1322
311,2022-11-08,1313
312,2022-11-09,1273
313,2022-11-10,1298
314,2022-11-11,1277
315,2022-11-12,1120
316,2022-11-13,1131
317,2022-11-14,1268
318,2022-11-15,1319
319,2022-11-16,1312
320,2022-11-17,1234
321,2022-11-18,1235
322,2022-11-19,1077
323,2022-11-20,1120
324,2022-11-21,1528
325,2022-11-22,1520
326,2022-11-23,1520
327,2022-11-24,1580
328,2022-11-25,1527
329,2022-11-26,1379
330,2022-11-27,1367
331,2022-11-28,1483
332,2022-11-29,1481
333,2022-11-30,1423
334,2022-12-01,1301
335,2022-12-02,1297
336,2022-12-03,1138
337,2022-12-04,1161
338,2022-12-05,1274
339,2022-12-06,1435
340,2022-12-07,1278
341,2022-12-08,1306
342,2022-12-09,2052
343,2022-12-10,1519
344,2022-12-11,1200
345,2022-12-12,1312
346,2022-12-13,1349
347,2022-12-14,1266
348,2022-12-15,1272
349,2022-12-16,1254
350,2022-12-17,1143
351,2022-12-18,1131
352,2022-12-19,1235
353,2022-12-20,1227
354,2022-12-21,1219
355,2022-12-22,1169
356,2022-12-23,1131
357,2022-12-24,1059
358,2022-12-25,1052
359,2022-12-26,1515
360,2022-12-27,1357
361,2022-12-28,1216
362,2022-12-29,1186
363,2022-12-30,1180
364,2022-12-31,1082
